,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,232000.0
Tax Rate For Calcs,0.223,0.216,0.214,0.232
Normalized EBITDA,1122000000.0,1290000000.0,1156000000.0,980000000.0
Total Unusual Items,,3000000.0,0.0,1000000.0
Total Unusual Items Excluding Goodwill,,3000000.0,0.0,1000000.0
Net Income From Continuing Operation Net Minority Interest,274000000.0,491000000.0,480000000.0,290000000.0
Reconciled Depreciation,608000000.0,533000000.0,486000000.0,563000000.0
Reconciled Cost Of Revenue,5531000000.0,5467000000.0,5483000000.0,4987000000.0
EBITDA,1122000000.0,1290000000.0,1156000000.0,981000000.0
EBIT,514000000.0,757000000.0,670000000.0,418000000.0
Net Interest Income,-146000000.0,-114000000.0,-57000000.0,-48000000.0
Interest Expense,155000000.0,123000000.0,58000000.0,39000000.0
Interest Income,21000000.0,13000000.0,4000000.0,3000000.0
Normalized Income,274000000.0,491000000.0,480000000.0,289232000.0
Net Income From Continuing And Discontinued Operation,274000000.0,491000000.0,4061000000.0,429000000.0
Total Expenses,8838000000.0,8595000000.0,8552000000.0,8001000000.0
Total Operating Income As Reported,505000000.0,748000000.0,669000000.0,427000000.0
Diluted Average Shares,50072427.0,50301722.0,50481928.0,50455198.0
Basic Average Shares,50060659.0,50301722.0,50480889.0,50453264.0
Diluted EPS,5.47,9.76,80.44,8.5
Basic EPS,5.47,9.76,80.44,8.5
Diluted NI Availto Com Stockholders,274000000.0,491000000.0,4061000000.0,429000000.0
Net Income Common Stockholders,274000000.0,491000000.0,4061000000.0,429000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,274000000.0,491000000.0,4061000000.0,429000000.0
Minority Interests,-5000000.0,-6000000.0,-1000000.0,-1000000.0
Net Income Including Noncontrolling Interests,279000000.0,497000000.0,4062000000.0,430000000.0
Net Income Discontinuous Operations,,0.0,3581000000.0,139000000.0
Net Income Continuous Operations,279000000.0,497000000.0,481000000.0,291000000.0
Tax Provision,80000000.0,137000000.0,131000000.0,88000000.0
Pretax Income,359000000.0,634000000.0,612000000.0,379000000.0
Other Non Operating Income Expenses,10000000.0,8000000.0,5000000.0,3000000.0
Special Income Charges,,3000000.0,0.0,1000000.0
Other Special Charges,,-3000000.0,,-1000000.0
Net Non Operating Interest Income Expense,-146000000.0,-114000000.0,-57000000.0,-48000000.0
Total Other Finance Cost,12000000.0,4000000.0,3000000.0,9000000.0
Interest Expense Non Operating,155000000.0,123000000.0,58000000.0,39000000.0
Interest Income Non Operating,21000000.0,13000000.0,4000000.0,3000000.0
Operating Income,495000000.0,740000000.0,659000000.0,416000000.0
Operating Expense,3307000000.0,3128000000.0,3069000000.0,3014000000.0
Other Operating Expenses,953000000.0,930000000.0,976000000.0,891000000.0
Depreciation And Amortization In Income Statement,608000000.0,533000000.0,486000000.0,563000000.0
Depreciation Income Statement,608000000.0,533000000.0,486000000.0,563000000.0
Gross Profit,3802000000.0,3868000000.0,3728000000.0,3430000000.0
Cost Of Revenue,5531000000.0,5467000000.0,5483000000.0,4987000000.0
Total Revenue,9333000000.0,9335000000.0,9211000000.0,8417000000.0
Operating Revenue,9333000000.0,9335000000.0,9211000000.0,8417000000.0
