,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.006949,0.206,0.206,0.273522
Normalized EBITDA,-58515000.0,-54161000.0,-63542000.0,-38319000.0
Total Unusual Items,-11800000.0,-1900000.0,,
Total Unusual Items Excluding Goodwill,-11800000.0,-1900000.0,,
Net Income From Continuing Operation Net Minority Interest,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Reconciled Depreciation,992000.0,1142000.0,932000.0,809000.0
Reconciled Cost Of Revenue,103334000.0,86266000.0,81503000.0,71329000.0
EBITDA,-58515000.0,-54161000.0,-63542000.0,-38319000.0
EBIT,-59507000.0,-55303000.0,-64474000.0,-39128000.0
Net Interest Income,1617000.0,1738000.0,-18000.0,-88000.0
Interest Expense,354000.0,100000.0,100000.0,101000.0
Interest Income,1971000.0,1838000.0,82000.0,13000.0
Normalized Income,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Net Income From Continuing And Discontinued Operation,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Total Expenses,144819000.0,136161000.0,132231000.0,108299000.0
Total Operating Income As Reported,-61208000.0,-57166000.0,-64646000.0,-39445000.0
Diluted Average Shares,17224706.0,11357186.0,11357186.0,11357186.0
Basic Average Shares,17224706.0,11357186.0,11357186.0,11357186.0
Diluted EPS,-3.451147,-4.895843,-5.70784,-2.509336
Basic EPS,-3.451147,-4.895843,-5.70784,-2.509336
Diluted NI Availto Com Stockholders,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Net Income Common Stockholders,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Net Income Including Noncontrolling Interests,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Net Income Continuous Operations,-59445000.0,-55603000.0,-64825000.0,-28499000.0
Tax Provision,-416000.0,200000.0,251000.0,-10730000.0
Pretax Income,-59861000.0,-55403000.0,-64574000.0,-39229000.0
Special Income Charges,-11800000.0,-1900000.0,,
Restructuring And Mergern Acquisition,11800000.0,1900000.0,,
Net Non Operating Interest Income Expense,1617000.0,1738000.0,-18000.0,-88000.0
Interest Expense Non Operating,354000.0,100000.0,100000.0,101000.0
Interest Income Non Operating,1971000.0,1838000.0,82000.0,13000.0
Operating Income,-61208000.0,-57166000.0,-64646000.0,-39445000.0
Operating Expense,41485000.0,49895000.0,50728000.0,36970000.0
Other Operating Expenses,43002000.0,49641000.0,51093000.0,39091000.0
Depreciation And Amortization In Income Statement,992000.0,1142000.0,932000.0,809000.0
Depreciation Income Statement,992000.0,1142000.0,932000.0,809000.0
Gross Profit,-19723000.0,-7271000.0,-13918000.0,-2475000.0
Cost Of Revenue,103334000.0,86266000.0,81503000.0,71329000.0
Total Revenue,83611000.0,78995000.0,67585000.0,68854000.0
Operating Revenue,83611000.0,78995000.0,67585000.0,68854000.0
