,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-19024000.0,-19372000.0,-18563279.857398
Tax Rate For Calcs,0.328,0.334,0.226381
Normalized EBITDA,1527000000.0,1178000000.0,1198000000.0
Total Unusual Items,-58000000.0,-58000000.0,-82000000.0
Total Unusual Items Excluding Goodwill,-58000000.0,-58000000.0,-82000000.0
Net Income From Continuing Operation Net Minority Interest,360000000.0,203000000.0,430000000.0
Reconciled Depreciation,608000000.0,548000000.0,395000000.0
Reconciled Cost Of Revenue,9147000000.0,8934000000.0,7936000000.0
EBITDA,1469000000.0,1120000000.0,1116000000.0
EBIT,861000000.0,572000000.0,721000000.0
Net Interest Income,-353000000.0,-277000000.0,-176000000.0
Interest Expense,302000000.0,264000000.0,160000000.0
Interest Income,9000000.0,3000000.0,1000000.0
Normalized Income,398976000.0,241628000.0,493436720.142602
Net Income From Continuing And Discontinued Operation,360000000.0,203000000.0,430000000.0
Total Expenses,14054000000.0,12869000000.0,10990000000.0
Total Operating Income As Reported,966000000.0,579000000.0,708000000.0
Diluted Average Shares,383036497.0,383036497.0,383036497.0
Basic Average Shares,383036497.0,383036497.0,383036497.0
Diluted EPS,0.939858,0.529976,1.122608
Basic EPS,0.939858,0.529976,1.122608
Diluted NI Availto Com Stockholders,360000000.0,203000000.0,430000000.0
Net Income Common Stockholders,360000000.0,203000000.0,430000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,360000000.0,203000000.0,430000000.0
Minority Interests,-15000000.0,-2000000.0,-4000000.0
Net Income Including Noncontrolling Interests,376000000.0,205000000.0,434000000.0
Net Income Continuous Operations,376000000.0,205000000.0,434000000.0
Tax Provision,183000000.0,103000000.0,127000000.0
Pretax Income,559000000.0,308000000.0,561000000.0
Net Non Operating Interest Income Expense,-353000000.0,-277000000.0,-176000000.0
Total Other Finance Cost,60000000.0,16000000.0,17000000.0
Interest Expense Non Operating,302000000.0,264000000.0,160000000.0
Interest Income Non Operating,9000000.0,3000000.0,1000000.0
Operating Income,972000000.0,584000000.0,727000000.0
Operating Expense,4907000000.0,3935000000.0,3054000000.0
Other Operating Expenses,112000000.0,57000000.0,
Selling General And Administration,4851000000.0,3886000000.0,3079000000.0
Selling And Marketing Expense,3519000000.0,2743000000.0,2319000000.0
General And Administrative Expense,1332000000.0,1143000000.0,760000000.0
Gross Profit,5879000000.0,4519000000.0,3781000000.0
Cost Of Revenue,9147000000.0,8934000000.0,7936000000.0
Total Revenue,15025000000.0,13453000000.0,11718000000.0
Operating Revenue,15025000000.0,13453000000.0,11718000000.0
