,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,-15540229.885057,-16800000.0
Tax Rate For Calcs,0.206,0.0,0.277504,0.21
Normalized EBITDA,76000000.0,762000000.0,1019000000.0,1287000000.0
Total Unusual Items,,-1279000000.0,-56000000.0,-80000000.0
Total Unusual Items Excluding Goodwill,,-1279000000.0,-56000000.0,-80000000.0
Net Income From Continuing Operation Net Minority Interest,-518000000.0,-1143000000.0,440000000.0,681000000.0
Reconciled Depreciation,109000000.0,132000000.0,176000000.0,223000000.0
Reconciled Cost Of Revenue,7514000000.0,11849000000.0,12298000000.0,12820000000.0
EBITDA,76000000.0,-517000000.0,963000000.0,1207000000.0
EBIT,-33000000.0,-649000000.0,787000000.0,984000000.0
Net Interest Income,-537000000.0,-508000000.0,-187000000.0,-142000000.0
Interest Expense,468000000.0,488000000.0,178000000.0,124000000.0
Interest Income,48000000.0,19000000.0,16000000.0,10000000.0
Normalized Income,-518000000.0,136000000.0,480459770.114943,744200000.0
Net Income From Continuing And Discontinued Operation,-518000000.0,-1337000000.0,-303000000.0,808000000.0
Total Expenses,8172000000.0,12609000000.0,13129000000.0,13664000000.0
Total Operating Income As Reported,22000000.0,660000000.0,858000000.0,
Diluted Average Shares,321600000.0,107200000.0,188617721.0,188617721.0
Basic Average Shares,321600000.0,107200000.0,188617721.0,188617721.0
Diluted EPS,-1.85,-12.47,-1.602734,4.285324
Basic EPS,-1.85,-12.47,-1.602734,4.285324
Diluted NI Availto Com Stockholders,-518000000.0,-1337000000.0,-303000000.0,808000000.0
Net Income Common Stockholders,-518000000.0,-1337000000.0,-303000000.0,808000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-518000000.0,-1337000000.0,-303000000.0,808000000.0
Net Income Including Noncontrolling Interests,-518000000.0,-1337000000.0,-303000000.0,808000000.0
Net Income Discontinuous Operations,,-194000000.0,-743000000.0,127000000.0
Net Income Continuous Operations,-518000000.0,-1142000000.0,440000000.0,681000000.0
Tax Provision,17000000.0,5000000.0,169000000.0,179000000.0
Pretax Income,-501000000.0,-1137000000.0,609000000.0,860000000.0
Special Income Charges,,-1279000000.0,-56000000.0,-80000000.0
Other Special Charges,,123000000.0,56000000.0,80000000.0
Impairment Of Capital Assets,,721000000.0,,
Restructuring And Mergern Acquisition,,435000000.0,56000000.0,
Net Non Operating Interest Income Expense,-537000000.0,-508000000.0,-187000000.0,-142000000.0
Total Other Finance Cost,117000000.0,39000000.0,25000000.0,28000000.0
Interest Expense Non Operating,468000000.0,488000000.0,178000000.0,124000000.0
Interest Income Non Operating,48000000.0,19000000.0,16000000.0,10000000.0
Operating Income,22000000.0,661000000.0,858000000.0,1081000000.0
Operating Expense,658000000.0,760000000.0,831000000.0,844000000.0
Selling General And Administration,658000000.0,760000000.0,831000000.0,844000000.0
General And Administrative Expense,658000000.0,760000000.0,831000000.0,844000000.0
Gross Profit,680000000.0,1421000000.0,1689000000.0,1925000000.0
Cost Of Revenue,7514000000.0,11849000000.0,12298000000.0,12820000000.0
Total Revenue,8194000000.0,13269000000.0,13987000000.0,14746000000.0
Operating Revenue,8194000000.0,13269000000.0,13987000000.0,14746000000.0
