,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-246950000.0,56992000.0,-62700000.0,-27209169.054441
Tax Rate For Calcs,0.275,0.274,0.275,0.283429
Normalized EBITDA,6207000000.0,5697000000.0,5932000000.0,6250000000.0
Total Unusual Items,-898000000.0,208000000.0,-228000000.0,-96000000.0
Total Unusual Items Excluding Goodwill,-898000000.0,208000000.0,-228000000.0,-96000000.0
Net Income From Continuing Operation Net Minority Interest,1638000000.0,2412000000.0,2491000000.0,2970000000.0
Reconciled Depreciation,2421000000.0,2093000000.0,2027000000.0,1814000000.0
Reconciled Cost Of Revenue,18606000000.0,17332000000.0,14882000000.0,13469000000.0
EBITDA,5309000000.0,5905000000.0,5704000000.0,6154000000.0
EBIT,2888000000.0,3812000000.0,3677000000.0,4340000000.0
Net Interest Income,-562000000.0,-370000000.0,-174000000.0,-183000000.0
Interest Expense,606000000.0,469000000.0,205000000.0,152000000.0
Interest Income,68000000.0,123000000.0,54000000.0,10000000.0
Normalized Income,2289050000.0,2260992000.0,2656300000.0,3038790830.945559
Net Income From Continuing And Discontinued Operation,1638000000.0,2412000000.0,2491000000.0,2970000000.0
Total Expenses,31063000000.0,28133000000.0,24416000000.0,22701000000.0
Total Operating Income As Reported,2854000000.0,3736000000.0,3626000000.0,4371000000.0
Diluted Average Shares,272370000.0,272369573.0,272369573.0,272369573.0
Basic Average Shares,272370000.0,272369573.0,272369573.0,272369573.0
Diluted EPS,6.01,8.86,9.15,10.9
Basic EPS,6.01,8.86,9.15,10.9
Diluted NI Availto Com Stockholders,1638000000.0,2412000000.0,2491000000.0,2970000000.0
Net Income Common Stockholders,1638000000.0,2412000000.0,2491000000.0,2970000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1638000000.0,2412000000.0,2491000000.0,2970000000.0
Minority Interests,-16000000.0,-16000000.0,-25000000.0,-31000000.0
Net Income Including Noncontrolling Interests,1654000000.0,2428000000.0,2516000000.0,3000000000.0
Net Income Continuous Operations,1654000000.0,2428000000.0,2516000000.0,3001000000.0
Tax Provision,628000000.0,915000000.0,956000000.0,1187000000.0
Pretax Income,2282000000.0,3343000000.0,3472000000.0,4188000000.0
Special Income Charges,-898000000.0,208000000.0,-228000000.0,-96000000.0
Other Special Charges,,-450000000.0,,
Restructuring And Mergern Acquisition,898000000.0,242000000.0,228000000.0,96000000.0
Net Non Operating Interest Income Expense,-562000000.0,-370000000.0,-174000000.0,-183000000.0
Total Other Finance Cost,24000000.0,24000000.0,23000000.0,41000000.0
Interest Expense Non Operating,606000000.0,469000000.0,205000000.0,152000000.0
Interest Income Non Operating,68000000.0,123000000.0,54000000.0,10000000.0
Operating Income,3696000000.0,3694000000.0,3876000000.0,4348000000.0
Operating Expense,12457000000.0,10801000000.0,9534000000.0,9232000000.0
Other Operating Expenses,548000000.0,63000000.0,67000000.0,703000000.0
Depreciation And Amortization In Income Statement,1039000000.0,977000000.0,,
Depreciation Income Statement,1039000000.0,977000000.0,,
Research And Development,1431000000.0,1192000000.0,1185000000.0,851000000.0
Selling General And Administration,9594000000.0,8704000000.0,8386000000.0,7927000000.0
Selling And Marketing Expense,5354000000.0,4846000000.0,4870000000.0,4590000000.0
General And Administrative Expense,4240000000.0,3858000000.0,3516000000.0,3337000000.0
Gross Profit,16153000000.0,14495000000.0,13410000000.0,13580000000.0
Cost Of Revenue,18606000000.0,17332000000.0,14882000000.0,13469000000.0
Total Revenue,34759000000.0,31827000000.0,28291000000.0,27049000000.0
Operating Revenue,34759000000.0,31827000000.0,28291000000.0,27049000000.0
