,2021-06-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-20436000.0
Net Income From Continuing Operation Net Minority Interest,-25644000.0
Reconciled Depreciation,5113000.0
Reconciled Cost Of Revenue,-6751000.0
EBITDA,-20436000.0
EBIT,-25549000.0
Net Interest Income,977000.0
Interest Expense,95000.0
Interest Income,1072000.0
Normalized Income,-25644000.0
Net Income From Continuing And Discontinued Operation,-25644000.0
Total Expenses,39353000.0
Total Operating Income As Reported,-26620000.0
Diluted Average Shares,8125509.0
Basic Average Shares,8125509.0
Diluted EPS,-3.16
Basic EPS,-3.16
Diluted NI Availto Com Stockholders,-25644000.0
Net Income Common Stockholders,-25644000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,-25644000.0
Net Income Including Noncontrolling Interests,-25644000.0
Net Income Continuous Operations,-25644000.0
Pretax Income,-25644000.0
Net Non Operating Interest Income Expense,977000.0
Interest Expense Non Operating,95000.0
Interest Income Non Operating,1072000.0
Operating Income,-26620000.0
Operating Expense,46104000.0
Other Operating Expenses,19401000.0
Depreciation And Amortization In Income Statement,5113000.0
Depreciation Income Statement,5113000.0
Selling General And Administration,19256000.0
General And Administrative Expense,19256000.0
Gross Profit,19484000.0
Cost Of Revenue,-6751000.0
Total Revenue,12733000.0
Operating Revenue,12733000.0
