,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-28080000.0,-79980000.0,0.0,160000.0
Tax Rate For Calcs,0.39,0.31,0.209,0.16
Normalized EBITDA,976000000.0,2193000000.0,2102000000.0,2345000000.0
Total Unusual Items,-72000000.0,-258000000.0,6000000.0,1000000.0
Total Unusual Items Excluding Goodwill,-72000000.0,-258000000.0,6000000.0,1000000.0
Net Income From Continuing Operation Net Minority Interest,353000000.0,1029000000.0,1495000000.0,1804000000.0
Reconciled Depreciation,189000000.0,392000000.0,105000000.0,113000000.0
Reconciled Cost Of Revenue,12640000000.0,13205000000.0,11481000000.0,12435000000.0
EBITDA,904000000.0,1935000000.0,2102000000.0,2346000000.0
EBIT,715000000.0,1543000000.0,1997000000.0,2233000000.0
Net Interest Income,-153000000.0,-124000000.0,-89000000.0,-83000000.0
Interest Expense,177000000.0,158000000.0,108000000.0,86000000.0
Interest Income,12000000.0,18000000.0,7000000.0,3000000.0
Normalized Income,396920000.0,1207020000.0,1495000000.0,1803160000.0
Net Income From Continuing And Discontinued Operation,353000000.0,1029000000.0,1495000000.0,1804000000.0
Total Expenses,13583000000.0,14203000000.0,12589000000.0,13467000000.0
Total Operating Income As Reported,692000000.0,1510000000.0,1978000000.0,2227000000.0
Diluted Average Shares,64504840.0,64504840.0,67384072.0,69560505.0
Basic Average Shares,64504840.0,64504840.0,67073227.0,69220764.0
Diluted EPS,5.47,15.95,22.2,26.0
Basic EPS,5.47,15.95,22.3,26.1
Diluted NI Availto Com Stockholders,354000000.0,1029000000.0,1497000000.0,1807000000.0
Average Dilution Earnings,1000000.0,0.0,2000000.0,3000000.0
Net Income Common Stockholders,353000000.0,1029000000.0,1495000000.0,1804000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,353000000.0,1029000000.0,1495000000.0,1804000000.0
Net Income Including Noncontrolling Interests,353000000.0,1029000000.0,1494000000.0,1804000000.0
Net Income Continuous Operations,353000000.0,1029000000.0,1494000000.0,1804000000.0
Tax Provision,185000000.0,356000000.0,395000000.0,343000000.0
Pretax Income,538000000.0,1385000000.0,1889000000.0,2147000000.0
Special Income Charges,-72000000.0,-258000000.0,,
Impairment Of Capital Assets,72000000.0,258000000.0,,
Net Non Operating Interest Income Expense,-153000000.0,-124000000.0,-89000000.0,-83000000.0
Total Other Finance Cost,-12000000.0,-16000000.0,-12000000.0,
Interest Expense Non Operating,177000000.0,158000000.0,108000000.0,86000000.0
Interest Income Non Operating,12000000.0,18000000.0,7000000.0,3000000.0
Operating Income,689000000.0,1766000000.0,1988000000.0,2183000000.0
Operating Expense,943000000.0,998000000.0,1108000000.0,1032000000.0
Selling General And Administration,943000000.0,998000000.0,1108000000.0,1032000000.0
General And Administrative Expense,943000000.0,998000000.0,1108000000.0,1032000000.0
Gross Profit,1632000000.0,2764000000.0,3096000000.0,3215000000.0
Cost Of Revenue,12640000000.0,13205000000.0,11481000000.0,12435000000.0
Total Revenue,14272000000.0,15969000000.0,14577000000.0,15650000000.0
Operating Revenue,14272000000.0,15969000000.0,14577000000.0,15650000000.0
