,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-231746.473504,-1548708.0,-9856.982614,-177.490834
Tax Rate For Calcs,0.027831,0.206,0.002003,0.000606
Normalized EBITDA,819000.0,-2836000.0,-10575000.0,-26788000.0
Total Unusual Items,-8327000.0,-7518000.0,-4921000.0,-293000.0
Total Unusual Items Excluding Goodwill,-8327000.0,-7518000.0,-4921000.0,-293000.0
Net Income From Continuing Operation Net Minority Interest,-17850000.0,-22097000.0,-24912000.0,-31346000.0
Reconciled Depreciation,10798000.0,11585000.0,9420000.0,4268000.0
Reconciled Cost Of Revenue,19101000.0,14938000.0,14434000.0,5969000.0
EBITDA,-7508000.0,-10354000.0,-15496000.0,-27081000.0
EBIT,-18306000.0,-21939000.0,-24916000.0,-31349000.0
Net Interest Income,588000.0,510000.0,148000.0,168000.0
Interest Expense,55000.0,37000.0,46000.0,16000.0
Interest Income,817000.0,564000.0,171000.0,75000.0
Normalized Income,-9754746.473504,-16127708.0,-20000856.982614,-31053177.490834
Net Income From Continuing And Discontinued Operation,-17850000.0,-22097000.0,-24912000.0,-31346000.0
Total Expenses,68317000.0,64838000.0,61960000.0,46662000.0
Total Operating Income As Reported,-18949000.0,-22486000.0,-25111000.0,-31533000.0
Diluted Average Shares,27289000.0,24188000.0,24085000.0,21808849.0
Basic Average Shares,27289000.0,24188000.0,24085000.0,21808849.0
Diluted EPS,-0.65,-0.91,-1.03,-1.35
Basic EPS,-0.65,-0.91,-1.03,-1.35
Diluted NI Availto Com Stockholders,-17850000.0,-22097000.0,-24912000.0,-31346000.0
Net Income Common Stockholders,-17850000.0,-22097000.0,-24912000.0,-31346000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-17850000.0,-22097000.0,-24912000.0,-31346000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,-17850000.0,-22097000.0,-24912000.0,-31346000.0
Net Income Continuous Operations,-17850000.0,-22097000.0,-24912000.0,-31346000.0
Tax Provision,-511000.0,121000.0,-50000.0,-19000.0
Pretax Income,-18361000.0,-21976000.0,-24962000.0,-31365000.0
Special Income Charges,-8327000.0,-7518000.0,-4921000.0,-293000.0
Restructuring And Mergern Acquisition,8327000.0,7518000.0,4921000.0,293000.0
Net Non Operating Interest Income Expense,588000.0,510000.0,148000.0,168000.0
Total Other Finance Cost,174000.0,17000.0,-23000.0,-109000.0
Interest Expense Non Operating,55000.0,37000.0,46000.0,16000.0
Interest Income Non Operating,817000.0,564000.0,171000.0,75000.0
Operating Income,-10622000.0,-14968000.0,-20190000.0,-31240000.0
Operating Expense,49216000.0,49900000.0,47526000.0,40693000.0
Other Operating Expenses,835000.0,917000.0,703000.0,577000.0
Research And Development,7088000.0,3747000.0,8985000.0,3874000.0
Selling General And Administration,44312000.0,45925000.0,39027000.0,36784000.0
Selling And Marketing Expense,25933000.0,26787000.0,21609000.0,21234000.0
General And Administrative Expense,18379000.0,19138000.0,17418000.0,15550000.0
Gross Profit,38594000.0,34932000.0,27336000.0,9453000.0
Cost Of Revenue,19101000.0,14938000.0,14434000.0,5969000.0
Total Revenue,57695000.0,49870000.0,41770000.0,15422000.0
Operating Revenue,57695000.0,49870000.0,41770000.0,15422000.0
