,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0,6064167.285207
Tax Rate For Calcs,0.206,0.162708,0.054533
Normalized EBITDA,263969000.0,283567000.0,148203000.0
Total Unusual Items,,93918000.0,111201000.0
Total Unusual Items Excluding Goodwill,,93918000.0,111201000.0
Net Income From Continuing Operation Net Minority Interest,4699000.0,-541156000.0,108272000.0
Reconciled Depreciation,71899000.0,867485000.0,102971000.0
Reconciled Cost Of Revenue,,758040000.0,663701000.0
EBITDA,263969000.0,283567000.0,259404000.0
EBIT,192070000.0,-583918000.0,156433000.0
Net Interest Income,-92062000.0,63994000.0,-45576000.0
Interest Expense,167385000.0,62399000.0,41916000.0
Interest Income,75323000.0,126393000.0,
Normalized Income,4699000.0,-541156000.0,3135167.285207
Net Income From Continuing And Discontinued Operation,4699000.0,-541156000.0,108272000.0
Total Expenses,497447000.0,1238743000.0,478928000.0
Total Operating Income As Reported,116747000.0,-710311000.0,73586000.0
Diluted Average Shares,171000000.0,233692028.0,233692028.0
Basic Average Shares,171000000.0,233692028.0,233692028.0
Diluted EPS,0.0275,-2.31568,0.463311
Basic EPS,0.0275,-2.31568,0.463311
Diluted NI Availto Com Stockholders,4699000.0,-541156000.0,108272000.0
Net Income Common Stockholders,4699000.0,-541156000.0,108272000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,4699000.0,-541156000.0,108272000.0
Minority Interests,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,4699000.0,-541156000.0,108272000.0
Net Income Continuous Operations,4699000.0,-541156000.0,108272000.0
Tax Provision,19986000.0,-105161000.0,6245000.0
Pretax Income,24685000.0,-646317000.0,114517000.0
Other Non Operating Income Expenses,-756727000.0,-758040000.0,-663701000.0
Special Income Charges,,-7946000.0,1637000.0
Other Special Charges,,7680000.0,100000.0
Write Off,,-734000.0,-3386000.0
Restructuring And Mergern Acquisition,,1000000.0,1649000.0
Net Non Operating Interest Income Expense,-92062000.0,63994000.0,-45576000.0
Total Other Finance Cost,,3228000.0,3660000.0
Interest Expense Non Operating,167385000.0,62399000.0,41916000.0
Interest Income Non Operating,75323000.0,126393000.0,
Operating Income,871315000.0,48921000.0,736270000.0
Operating Expense,497447000.0,1238743000.0,478928000.0
Other Operating Expenses,271212000.0,212346000.0,164510000.0
Depreciation And Amortization In Income Statement,71899000.0,867485000.0,102971000.0
Depreciation Income Statement,71899000.0,867485000.0,102971000.0
Selling General And Administration,,52170000.0,46572000.0
Selling And Marketing Expense,,34508000.0,38440000.0
General And Administrative Expense,,17662000.0,8132000.0
Gross Profit,,529624000.0,551497000.0
Cost Of Revenue,,758040000.0,663701000.0
Total Revenue,1368762000.0,1287664000.0,1215198000.0
Operating Revenue,1368762000.0,1287664000.0,1215198000.0
