,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,27010000.0,12750000.0,-8702000.0,-6657600.0
Tax Rate For Calcs,0.185,0.255,0.229,0.228
Normalized EBITDA,1196000000.0,1137000000.0,1115000000.0,988500000.0
Total Unusual Items,146000000.0,50000000.0,-38000000.0,-29200000.0
Total Unusual Items Excluding Goodwill,146000000.0,50000000.0,-38000000.0,-29200000.0
Net Income From Continuing Operation Net Minority Interest,714000000.0,519000000.0,526000000.0,521500000.0
Reconciled Depreciation,255000000.0,250000000.0,302000000.0,246500000.0
Reconciled Cost Of Revenue,4967000000.0,4853000000.0,4102000000.0,3059500000.0
EBITDA,1342000000.0,1187000000.0,1077000000.0,959300000.0
EBIT,1087000000.0,937000000.0,775000000.0,712800000.0
Net Interest Income,-181000000.0,-203000000.0,-65000000.0,-30800000.0
Interest Expense,192000000.0,219000000.0,71000000.0,31900000.0
Interest Income,13000000.0,11000000.0,6000000.0,1100000.0
Normalized Income,595010000.0,481750000.0,555298000.0,544042400.0
Net Income From Continuing And Discontinued Operation,714000000.0,519000000.0,959000000.0,568200000.0
Total Expenses,6283000000.0,6020000000.0,5068000000.0,3839200000.0
Total Operating Income As Reported,1091000000.0,941000000.0,773000000.0,711700000.0
Diluted Average Shares,60262200.0,60262200.0,60262200.0,60262200.0
Basic Average Shares,60262200.0,60262200.0,60262200.0,60262200.0
Diluted EPS,11.85,8.61,15.92,9.43
Basic EPS,11.85,8.61,15.92,9.43
Diluted NI Availto Com Stockholders,714000000.0,519000000.0,959000000.0,568200000.0
Net Income Common Stockholders,714000000.0,519000000.0,959000000.0,568200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,714000000.0,519000000.0,959000000.0,568200000.0
Minority Interests,-15000000.0,-16000000.0,-14000000.0,-5500000.0
Net Income Including Noncontrolling Interests,729000000.0,535000000.0,973000000.0,573700000.0
Net Income Discontinuous Operations,,0.0,433000000.0,46700000.0
Net Income Continuous Operations,729000000.0,535000000.0,540000000.0,527000000.0
Tax Provision,166000000.0,183000000.0,164000000.0,153900000.0
Pretax Income,895000000.0,718000000.0,704000000.0,680900000.0
Special Income Charges,153000000.0,43000000.0,-38000000.0,-29200000.0
Other Special Charges,4000000.0,138000000.0,25000000.0,45300000.0
Restructuring And Mergern Acquisition,-157000000.0,-181000000.0,13000000.0,-16100000.0
Net Non Operating Interest Income Expense,-181000000.0,-203000000.0,-65000000.0,-30800000.0
Total Other Finance Cost,2000000.0,-5000000.0,,
Interest Expense Non Operating,192000000.0,219000000.0,71000000.0,31900000.0
Interest Income Non Operating,13000000.0,11000000.0,6000000.0,1100000.0
Operating Income,920000000.0,862000000.0,798000000.0,740700000.0
Operating Expense,1316000000.0,1167000000.0,966000000.0,779700000.0
Depreciation And Amortization In Income Statement,70000000.0,57000000.0,,
Depreciation Income Statement,70000000.0,57000000.0,,
Selling General And Administration,1265000000.0,1126000000.0,967000000.0,779700000.0
Selling And Marketing Expense,579000000.0,509000000.0,458000000.0,375500000.0
General And Administrative Expense,686000000.0,617000000.0,509000000.0,404200000.0
Gross Profit,2236000000.0,2029000000.0,1764000000.0,1520400000.0
Cost Of Revenue,4967000000.0,4853000000.0,4102000000.0,3059500000.0
Total Revenue,7203000000.0,6882000000.0,5866000000.0,4579900000.0
Operating Revenue,7203000000.0,6882000000.0,5866000000.0,4579900000.0
