,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-383871000.0,-144202000.0
Total Unusual Items,-3170000.0,0.0
Total Unusual Items Excluding Goodwill,-3170000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-387203000.0,-144605000.0
Reconciled Depreciation,76000.0,272000.0
Reconciled Cost Of Revenue,3793000.0,1764000.0
EBITDA,-387041000.0,-144202000.0
EBIT,-387117000.0,-144474000.0
Net Interest Income,-86000.0,-131000.0
Interest Expense,86000.0,131000.0
Normalized Income,-384033000.0,-144605000.0
Net Income From Continuing And Discontinued Operation,-387203000.0,-144605000.0
Total Expenses,385756000.0,146090000.0
Total Operating Income As Reported,-388126000.0,-144581000.0
Diluted Average Shares,,20742508.0
Basic Average Shares,,20742508.0
Diluted EPS,,-6.971433
Basic EPS,,-6.971433
Diluted NI Availto Com Stockholders,-387203000.0,-144605000.0
Net Income Common Stockholders,-387203000.0,-144605000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,-387203000.0,-144605000.0
Net Income Including Noncontrolling Interests,-387203000.0,-144605000.0
Net Income Continuous Operations,-387203000.0,-144605000.0
Tax Provision,0.0,0.0
Pretax Income,-387203000.0,-144605000.0
Special Income Charges,-3170000.0,0.0
Write Off,3170000.0,0.0
Net Non Operating Interest Income Expense,-86000.0,-131000.0
Interest Expense Non Operating,86000.0,131000.0
Operating Income,-383970000.0,-144456000.0
Operating Expense,381963000.0,144326000.0
Other Operating Expenses,382518000.0,144849000.0
Depreciation And Amortization In Income Statement,76000.0,272000.0
Depreciation Income Statement,76000.0,272000.0
Selling General And Administration,3793000.0,1764000.0
General And Administrative Expense,3793000.0,1764000.0
Gross Profit,-2007000.0,-130000.0
Cost Of Revenue,3793000.0,1764000.0
Total Revenue,1786000.0,1634000.0
Operating Revenue,1786000.0,1634000.0
