,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.248,0.24,0.264,0.209
Normalized EBITDA,6654000000.0,6282000000.0,5121000000.0,4072000000.0
Net Income From Continuing Operation Net Minority Interest,3301000000.0,3274000000.0,2784000000.0,2390000000.0
Reconciled Depreciation,1684000000.0,1482000000.0,1151000000.0,939000000.0
Reconciled Cost Of Revenue,14548000000.0,13637000000.0,12544000000.0,10150000000.0
EBITDA,6654000000.0,6282000000.0,5121000000.0,4072000000.0
EBIT,4970000000.0,4800000000.0,3970000000.0,3133000000.0
Net Interest Income,-463000000.0,-390000000.0,-119000000.0,-65000000.0
Interest Expense,516000000.0,426000000.0,128000000.0,63000000.0
Interest Income,58000000.0,45000000.0,11000000.0,1000000.0
Normalized Income,3301000000.0,3274000000.0,2784000000.0,2390000000.0
Net Income From Continuing And Discontinued Operation,3301000000.0,3274000000.0,2784000000.0,2390000000.0
Total Expenses,21240000000.0,19701000000.0,17599000000.0,14339000000.0
Rent Expense Supplemental,,,74000000.0,59000000.0
Total Operating Income As Reported,4896000000.0,4753000000.0,3953000000.0,3141000000.0
Diluted Average Shares,454057772.0,454216300.0,454216300.0,454216300.0
Basic Average Shares,454057772.0,454216300.0,454216300.0,454216300.0
Diluted EPS,7.27,7.21,6.13,5.26
Basic EPS,7.27,7.21,6.13,5.26
Diluted NI Availto Com Stockholders,3301000000.0,3274000000.0,2784000000.0,2390000000.0
Net Income Common Stockholders,3301000000.0,3274000000.0,2784000000.0,2390000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3301000000.0,3274000000.0,2784000000.0,2390000000.0
Minority Interests,-49000000.0,-49000000.0,-44000000.0,-39000000.0
Net Income Including Noncontrolling Interests,3349000000.0,3323000000.0,2828000000.0,2429000000.0
Net Income Continuous Operations,3349000000.0,3323000000.0,2828000000.0,2429000000.0
Tax Provision,1105000000.0,1051000000.0,1014000000.0,641000000.0
Pretax Income,4454000000.0,4374000000.0,3842000000.0,3070000000.0
Net Non Operating Interest Income Expense,-463000000.0,-390000000.0,-119000000.0,-65000000.0
Total Other Finance Cost,5000000.0,9000000.0,2000000.0,3000000.0
Interest Expense Non Operating,516000000.0,426000000.0,128000000.0,63000000.0
Interest Income Non Operating,58000000.0,45000000.0,11000000.0,1000000.0
Operating Income,4897000000.0,4753000000.0,3953000000.0,3141000000.0
Operating Expense,6692000000.0,6064000000.0,5055000000.0,4189000000.0
Other Operating Expenses,121000000.0,147000000.0,99000000.0,90000000.0
Research And Development,254000000.0,196000000.0,163000000.0,140000000.0
Selling General And Administration,6482000000.0,5897000000.0,4907000000.0,4037000000.0
Selling And Marketing Expense,3014000000.0,2645000000.0,2256000000.0,1788000000.0
General And Administrative Expense,3468000000.0,3252000000.0,2651000000.0,2249000000.0
Gross Profit,11589000000.0,10817000000.0,9008000000.0,7330000000.0
Cost Of Revenue,14548000000.0,13637000000.0,12544000000.0,10150000000.0
Total Revenue,26137000000.0,24454000000.0,21552000000.0,17480000000.0
Operating Revenue,26137000000.0,24454000000.0,21552000000.0,17480000000.0
