,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.206
Normalized EBITDA,-21812787.0,-15751970.0,-2513000.0
Net Income From Continuing Operation Net Minority Interest,-31614457.0,-16928032.0,-2527000.0
Reconciled Depreciation,1241694.0,262906.0,
Reconciled Cost Of Revenue,-27294732.0,-16370483.0,
EBITDA,-21812787.0,-15751970.0,-2513000.0
EBIT,-23054481.0,-16014876.0,-2513000.0
Net Interest Income,-8553850.0,-881744.0,
Interest Expense,8559976.0,913156.0,
Interest Income,6126.0,31412.0,
Normalized Income,-31614457.0,-16928032.0,-2527000.0
Net Income From Continuing And Discontinued Operation,-31614457.0,-16928032.0,-2527000.0
Total Expenses,24636151.0,16086852.0,
Total Operating Income As Reported,-23060607.0,-16046288.0,-2513000.0
Diluted Average Shares,27731980.0,19015809.0,19015809.0
Basic Average Shares,27731980.0,19015809.0,19015809.0
Diluted EPS,-1.14,-0.890208,-0.132889
Basic EPS,-1.14,-0.890208,-0.132889
Diluted NI Availto Com Stockholders,-31614457.0,-16928032.0,-2527000.0
Net Income Common Stockholders,-31614457.0,-16928032.0,-2527000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-31614457.0,-16928032.0,-2527000.0
Net Income Including Noncontrolling Interests,-31614457.0,-16928032.0,-2527000.0
Net Income Continuous Operations,-31614457.0,-16928032.0,-2527000.0
Pretax Income,-31614457.0,-16928032.0,
Net Non Operating Interest Income Expense,-8553850.0,-881744.0,
Interest Expense Non Operating,8559976.0,913156.0,
Interest Income Non Operating,6126.0,31412.0,
Operating Income,-23060607.0,-16046288.0,-2513000.0
Operating Expense,51930883.0,32457335.0,
Other Operating Expenses,20450689.0,16440952.0,
Depreciation And Amortization In Income Statement,1241694.0,262906.0,
Depreciation Income Statement,1241694.0,262906.0,
Gross Profit,28870276.0,16411047.0,
Cost Of Revenue,-27294732.0,-16370483.0,
Total Revenue,1575544.0,40564.0,
Operating Revenue,1575544.0,40564.0,
