,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-14152000.0,-6376000.0,-5030399.0
Total Unusual Items,,,-477070.0
Total Unusual Items Excluding Goodwill,,,-477070.0
Net Income From Continuing Operation Net Minority Interest,-38511000.0,-9576000.0,-9435198.0
Reconciled Depreciation,21955000.0,2483000.0,3469848.0
Reconciled Cost Of Revenue,10000.0,0.0,
EBITDA,-14152000.0,-6376000.0,-5507469.0
EBIT,-36107000.0,-8859000.0,-8977317.0
Net Interest Income,-2404000.0,-403000.0,-457881.0
Interest Expense,2404000.0,717000.0,457881.0
Interest Income,0.0,314000.0,
Normalized Income,-38511000.0,-9576000.0,-8958128.0
Net Income From Continuing And Discontinued Operation,-38511000.0,-9576000.0,-9435198.0
Total Expenses,34736000.0,9532000.0,9055130.0
Total Operating Income As Reported,-33647000.0,-9173000.0,-8500247.0
Diluted Average Shares,34388116.0,20632869.0,7700160.0
Basic Average Shares,34388116.0,20632869.0,7700160.0
Diluted EPS,-2.006527,-0.682108,-1.104753
Basic EPS,-2.006527,-0.682108,-1.104753
Diluted NI Availto Com Stockholders,-38511000.0,-9576000.0,-9435198.0
Net Income Common Stockholders,-38511000.0,-9576000.0,-9435198.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-38511000.0,-9576000.0,-9435198.0
Net Income Including Noncontrolling Interests,-38511000.0,-9576000.0,-9435198.0
Net Income Continuous Operations,-38511000.0,-9576000.0,-9435198.0
Pretax Income,-38511000.0,-9576000.0,-9435198.0
Special Income Charges,,,-477070.0
Write Off,,,477070.0
Net Non Operating Interest Income Expense,-2404000.0,-403000.0,-457881.0
Interest Expense Non Operating,2404000.0,717000.0,457881.0
Interest Income Non Operating,0.0,314000.0,
Operating Income,-33647000.0,-9173000.0,-8500247.0
Operating Expense,34726000.0,9532000.0,9055130.0
Other Operating Expenses,58000.0,35000.0,
Depreciation And Amortization In Income Statement,21955000.0,2483000.0,3469848.0
Depreciation Income Statement,21955000.0,2483000.0,3469848.0
Selling General And Administration,7842000.0,5046000.0,4901543.0
General And Administrative Expense,7842000.0,5046000.0,4901543.0
Gross Profit,1079000.0,359000.0,
Cost Of Revenue,10000.0,0.0,
Total Revenue,1089000.0,359000.0,554883.0
Operating Revenue,1089000.0,359000.0,554883.0
