,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.224,0.221,0.209,0.213
Normalized EBITDA,409000000.0,341000000.0,252000000.0,209000000.0
Net Income From Continuing Operation Net Minority Interest,178000000.0,170000000.0,137000000.0,116000000.0
Reconciled Depreciation,137000000.0,100000000.0,68000000.0,54000000.0
Reconciled Cost Of Revenue,1510000000.0,1201000000.0,915000000.0,795000000.0
EBITDA,409000000.0,341000000.0,252000000.0,209000000.0
EBIT,272000000.0,241000000.0,184000000.0,155000000.0
Net Interest Income,-31000000.0,-18000000.0,-8000000.0,-7000000.0
Interest Expense,32000000.0,19000000.0,7000000.0,7000000.0
Interest Income,2000000.0,0.0,1000000.0,0.0
Normalized Income,178000000.0,170000000.0,137000000.0,116000000.0
Net Income From Continuing And Discontinued Operation,178000000.0,170000000.0,137000000.0,116000000.0
Total Expenses,2600000000.0,2061000000.0,1554000000.0,1336000000.0
Total Operating Income As Reported,273000000.0,237000000.0,185000000.0,155000000.0
Diluted Average Shares,49412000.0,49300000.0,49791000.0,50480889.0
Basic Average Shares,49412000.0,49300000.0,49791000.0,50480889.0
Diluted EPS,3.6,3.45,2.7,2.297899
Basic EPS,3.6,3.45,2.7,2.297899
Diluted NI Availto Com Stockholders,178000000.0,170000000.0,137000000.0,116000000.0
Net Income Common Stockholders,178000000.0,170000000.0,137000000.0,116000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,178000000.0,170000000.0,137000000.0,116000000.0
Minority Interests,-8000000.0,-3000000.0,-3000000.0,-1000000.0
Net Income Including Noncontrolling Interests,186000000.0,173000000.0,140000000.0,117000000.0
Net Income Continuous Operations,186000000.0,173000000.0,140000000.0,117000000.0
Tax Provision,54000000.0,49000000.0,37000000.0,31000000.0
Pretax Income,240000000.0,222000000.0,177000000.0,148000000.0
Net Non Operating Interest Income Expense,-31000000.0,-18000000.0,-8000000.0,-7000000.0
Total Other Finance Cost,1000000.0,-1000000.0,2000000.0,
Interest Expense Non Operating,32000000.0,19000000.0,7000000.0,7000000.0
Interest Income Non Operating,2000000.0,0.0,1000000.0,0.0
Operating Income,273000000.0,237000000.0,185000000.0,155000000.0
Operating Expense,1090000000.0,860000000.0,639000000.0,541000000.0
Other Operating Expenses,250000000.0,209000000.0,163000000.0,149000000.0
Depreciation And Amortization In Income Statement,137000000.0,100000000.0,68000000.0,54000000.0
Amortization,44000000.0,28000000.0,13000000.0,10000000.0
Depreciation Income Statement,93000000.0,72000000.0,55000000.0,54000000.0
Gross Profit,1363000000.0,1097000000.0,824000000.0,696000000.0
Cost Of Revenue,1510000000.0,1201000000.0,915000000.0,795000000.0
Total Revenue,2873000000.0,2298000000.0,1739000000.0,1491000000.0
Operating Revenue,2873000000.0,2298000000.0,1739000000.0,1491000000.0
