,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,33656444.0,7709024.0,0.0,12821052.0
Tax Rate For Calcs,0.172,0.272,0.315,0.258
Normalized EBITDA,448658000.0,427454000.0,423036000.0,360662000.0
Total Unusual Items,195677000.0,28342000.0,0.0,49694000.0
Total Unusual Items Excluding Goodwill,195677000.0,28342000.0,0.0,49694000.0
Net Income From Continuing Operation Net Minority Interest,386496000.0,214815000.0,198405000.0,214702000.0
Reconciled Depreciation,140985000.0,133868000.0,116696000.0,103953000.0
Reconciled Cost Of Revenue,1564061000.0,1499216000.0,1395792000.0,1031604000.0
EBITDA,644335000.0,455796000.0,423036000.0,410356000.0
EBIT,503349000.0,321928000.0,306340000.0,306403000.0
Net Interest Income,-26851000.0,-21218000.0,-13880000.0,-16309000.0
Interest Expense,35765000.0,26794000.0,16673000.0,17193000.0
Interest Income,8914000.0,5576000.0,2793000.0,884000.0
Normalized Income,224475444.0,194182024.0,198405000.0,177829052.0
Net Income From Continuing And Discontinued Operation,386496000.0,214815000.0,198405000.0,214702000.0
Total Expenses,2503999000.0,2394842000.0,2226383000.0,1661256000.0
Total Operating Income As Reported,298055000.0,288050000.0,303251000.0,305200000.0
Diluted Average Shares,19396819.0,19384610.0,19374347.0,19327972.0
Basic Average Shares,19396819.0,19384610.0,19374347.0,19327972.0
Diluted EPS,19.95,11.08,10.24,11.11
Basic EPS,19.95,11.08,10.24,11.11
Diluted NI Availto Com Stockholders,386496000.0,214815000.0,198405000.0,214702000.0
Net Income Common Stockholders,386496000.0,214815000.0,198405000.0,214702000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,386496000.0,214815000.0,198405000.0,214702000.0
Minority Interests,-467000.0,0.0,,
Net Income Including Noncontrolling Interests,386963000.0,214815000.0,198405000.0,214702000.0
Net Income Continuous Operations,386963000.0,214814000.0,198406000.0,214702000.0
Tax Provision,80621000.0,80320000.0,91261000.0,74508000.0
Pretax Income,467584000.0,295134000.0,289667000.0,289210000.0
Special Income Charges,195677000.0,28342000.0,0.0,49694000.0
Other Special Charges,,,,-49694000.0
Restructuring And Mergern Acquisition,-195677000.0,-28342000.0,0.0,
Net Non Operating Interest Income Expense,-26851000.0,-21218000.0,-13880000.0,-16309000.0
Interest Expense Non Operating,35765000.0,26794000.0,16673000.0,17193000.0
Interest Income Non Operating,8914000.0,5576000.0,2793000.0,884000.0
Operating Income,298055000.0,288050000.0,303251000.0,255506000.0
Operating Expense,939938000.0,895626000.0,830591000.0,629652000.0
Other Operating Expenses,2363013000.0,2260975000.0,,
Depreciation And Amortization In Income Statement,140986000.0,133867000.0,116695000.0,103953000.0
Amortization,66733000.0,57656000.0,,
Depreciation Income Statement,140986000.0,133867000.0,116695000.0,103953000.0
Selling General And Administration,798952000.0,761759000.0,713896000.0,525699000.0
General And Administrative Expense,798952000.0,761759000.0,713896000.0,525699000.0
Gross Profit,1237993000.0,1183676000.0,1133842000.0,885158000.0
Cost Of Revenue,1564061000.0,1499216000.0,1395792000.0,1031604000.0
Total Revenue,2802054000.0,2682892000.0,2529634000.0,1916762000.0
Operating Revenue,2802054000.0,2682892000.0,2529634000.0,1916762000.0
