,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.052948,0.206,0.339731
Normalized EBITDA,118210000.0,56121000.0,26711000.0
Net Income From Continuing Operation Net Minority Interest,92267000.0,49740000.0,14258000.0
Reconciled Depreciation,2657000.0,1644000.0,998000.0
Reconciled Cost Of Revenue,3576000.0,644000.0,214000.0
EBITDA,118210000.0,56121000.0,26711000.0
EBIT,115553000.0,54477000.0,25713000.0
Net Interest Income,763000.0,132000.0,-25000.0
Interest Expense,82000.0,65000.0,25000.0
Interest Income,890000.0,176000.0,0.0
Normalized Income,92267000.0,49740000.0,14258000.0
Net Income From Continuing And Discontinued Operation,92267000.0,49740000.0,14258000.0
Total Expenses,21694000.0,11388000.0,6448000.0
Total Operating Income As Reported,114969000.0,55397000.0,25517000.0
Diluted Average Shares,288915987.0,288915987.0,288915987.0
Basic Average Shares,288915987.0,288915987.0,288915987.0
Diluted EPS,0.319356,0.172161,0.04935
Basic EPS,0.319356,0.172161,0.04935
Diluted NI Availto Com Stockholders,92267000.0,49740000.0,14258000.0
Net Income Common Stockholders,92267000.0,49740000.0,14258000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,92267000.0,49740000.0,14258000.0
Minority Interests,-17090000.0,-9558000.0,-2703000.0
Net Income Including Noncontrolling Interests,109357000.0,59298000.0,16961000.0
Net Income Continuous Operations,109357000.0,59298000.0,16961000.0
Tax Provision,6114000.0,-4886000.0,8727000.0
Pretax Income,115471000.0,54412000.0,25688000.0
Net Non Operating Interest Income Expense,763000.0,132000.0,-25000.0
Total Other Finance Cost,45000.0,-21000.0,
Interest Expense Non Operating,82000.0,65000.0,25000.0
Interest Income Non Operating,890000.0,176000.0,0.0
Operating Income,114970000.0,55397000.0,25517000.0
Operating Expense,18118000.0,10744000.0,6234000.0
Other Operating Expenses,5773000.0,2923000.0,1734000.0
Depreciation And Amortization In Income Statement,2657000.0,1644000.0,998000.0
Amortization,1789000.0,1095000.0,815000.0
Depreciation Income Statement,868000.0,549000.0,183000.0
Gross Profit,133088000.0,66141000.0,31751000.0
Cost Of Revenue,3576000.0,644000.0,214000.0
Total Revenue,136664000.0,66785000.0,31965000.0
Operating Revenue,136664000.0,66785000.0,31965000.0
