,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-23842000.0,-35638000.0,59541000.0,4120000.0
Tax Rate For Calcs,0.262,0.206,0.267,0.206
Normalized EBITDA,961000000.0,317000000.0,337000000.0,1622000000.0
Total Unusual Items,-91000000.0,-173000000.0,223000000.0,20000000.0
Total Unusual Items Excluding Goodwill,-91000000.0,-173000000.0,223000000.0,20000000.0
Net Income From Continuing Operation Net Minority Interest,327000000.0,-246000000.0,268000000.0,1209000000.0
Reconciled Depreciation,2000000.0,2000000.0,3000000.0,3000000.0
Reconciled Cost Of Revenue,169000000.0,163000000.0,163000000.0,141000000.0
EBITDA,870000000.0,144000000.0,560000000.0,1642000000.0
EBIT,868000000.0,142000000.0,557000000.0,1639000000.0
Net Interest Income,-319000000.0,-298000000.0,-200000000.0,-134000000.0
Interest Expense,425000000.0,383000000.0,190000000.0,116000000.0
Interest Income,130000000.0,113000000.0,8000000.0,1000000.0
Normalized Income,394158000.0,-108638000.0,104541000.0,1193120000.0
Net Income From Continuing And Discontinued Operation,327000000.0,-246000000.0,268000000.0,1209000000.0
Total Expenses,273000000.0,258000000.0,271000000.0,251000000.0
Rent Expense Supplemental,10000000.0,10000000.0,10000000.0,9000000.0
Total Operating Income As Reported,718000000.0,672000000.0,548000000.0,488000000.0
Diluted Average Shares,28910425.0,28428265.0,28428265.0,2844000000.0
Basic Average Shares,28888192.0,28428265.0,28428265.0,28385141.0
Diluted EPS,9.69,-10.54,7.41,40.67
Basic EPS,9.7,-10.54,7.42,40.67
Diluted NI Availto Com Stockholders,327000000.0,-246000000.0,268000000.0,1209000000.0
Net Income Common Stockholders,327000000.0,-246000000.0,268000000.0,1209000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,327000000.0,-246000000.0,268000000.0,1209000000.0
Net Income Including Noncontrolling Interests,327000000.0,-246000000.0,268000000.0,1209000000.0
Net Income Continuous Operations,327000000.0,-246000000.0,268000000.0,1209000000.0
Tax Provision,116000000.0,5000000.0,98000000.0,313000000.0
Pretax Income,443000000.0,-241000000.0,367000000.0,1523000000.0
Net Non Operating Interest Income Expense,-319000000.0,-298000000.0,-200000000.0,-134000000.0
Total Other Finance Cost,24000000.0,28000000.0,18000000.0,19000000.0
Interest Expense Non Operating,425000000.0,383000000.0,190000000.0,116000000.0
Interest Income Non Operating,130000000.0,113000000.0,8000000.0,1000000.0
Operating Income,629000000.0,585000000.0,462000000.0,402000000.0
Operating Expense,104000000.0,95000000.0,108000000.0,110000000.0
Other Operating Expenses,23000000.0,19000000.0,22000000.0,27000000.0
Selling General And Administration,80000000.0,77000000.0,76000000.0,77000000.0
General And Administrative Expense,80000000.0,77000000.0,76000000.0,77000000.0
Rent And Landing Fees,10000000.0,10000000.0,10000000.0,9000000.0
Gross Profit,733000000.0,680000000.0,570000000.0,512000000.0
Cost Of Revenue,169000000.0,163000000.0,163000000.0,141000000.0
Total Revenue,902000000.0,843000000.0,733000000.0,653000000.0
Operating Revenue,902000000.0,843000000.0,733000000.0,653000000.0
