,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,2428794.913028
Tax Rate For Calcs,0.046621,0.206,0.089713
Normalized EBITDA,-91035000.0,199000000.0,28356000.0
Total Unusual Items,,,27073000.0
Total Unusual Items Excluding Goodwill,,,27073000.0
Net Income From Continuing Operation Net Minority Interest,-118035000.0,-72000000.0,40505000.0
Reconciled Depreciation,17000000.0,111000000.0,6519000.0
Reconciled Cost Of Revenue,520528000.0,1431000000.0,461026000.0
EBITDA,-91035000.0,199000000.0,55429000.0
EBIT,-108035000.0,88000000.0,48910000.0
Net Interest Income,-12387000.0,-108000000.0,-3440000.0
Interest Expense,15772000.0,114000000.0,4758000.0
Interest Income,3385000.0,6000000.0,1318000.0
Normalized Income,-118035000.0,-72000000.0,15860794.913028
Net Income From Continuing And Discontinued Operation,-117748000.0,-72000000.0,40505000.0
Total Expenses,801948000.0,2342000000.0,562363000.0
Total Operating Income As Reported,-111420000.0,83000000.0,56497000.0
Diluted Average Shares,69971818.0,71226303.0,71226303.0
Basic Average Shares,69971818.0,71226303.0,71226303.0
Diluted EPS,-2.74,0.412558,0.56868
Basic EPS,-2.74,0.412558,0.56868
Diluted NI Availto Com Stockholders,-117748000.0,-72000000.0,40505000.0
Net Income Common Stockholders,-117748000.0,-72000000.0,40505000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-117748000.0,-72000000.0,40505000.0
Minority Interests,,-11000000.0,314000.0
Net Income Including Noncontrolling Interests,-117748000.0,-60000000.0,40191000.0
Net Income Discontinuous Operations,287000.0,,
Net Income Continuous Operations,-118035000.0,-60000000.0,40191000.0
Tax Provision,-5772000.0,34000000.0,3961000.0
Pretax Income,-123807000.0,-26000000.0,44152000.0
Other Non Operating Income Expenses,,,268000.0
Special Income Charges,,,35978000.0
Other Special Charges,,,-35978000.0
Net Non Operating Interest Income Expense,-12387000.0,-108000000.0,-3440000.0
Interest Expense Non Operating,15772000.0,114000000.0,4758000.0
Interest Income Non Operating,3385000.0,6000000.0,1318000.0
Operating Income,-114564000.0,40000000.0,20251000.0
Operating Expense,281420000.0,911000000.0,101337000.0
Other Operating Expenses,188701000.0,289000000.0,37275000.0
Depreciation And Amortization In Income Statement,17000000.0,111000000.0,6519000.0
Depreciation Income Statement,17000000.0,111000000.0,6519000.0
Gross Profit,166856000.0,951000000.0,121588000.0
Cost Of Revenue,520528000.0,1431000000.0,461026000.0
Total Revenue,687384000.0,2382000000.0,582614000.0
Operating Revenue,687384000.0,2382000000.0,582614000.0
