,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-20999.0,7399.2,-114875.6,-199351.2
Tax Rate For Calcs,0.2,0.2,0.2,0.2
Normalized EBITDA,-20076170.0,-17884682.0,-18881272.0,-16194694.0
Total Unusual Items,-104995.0,36996.0,-574378.0,-996756.0
Total Unusual Items Excluding Goodwill,-104995.0,36996.0,-574378.0,-996756.0
Net Income From Continuing Operation Net Minority Interest,-23427927.0,-20755874.0,-22074848.0,-19689659.0
Reconciled Depreciation,3174878.0,2878128.0,2381741.0,1960319.0
Reconciled Cost Of Revenue,551981.0,849043.0,340493.0,162375.0
EBITDA,-20181165.0,-17847686.0,-19455650.0,-17191450.0
EBIT,-23356043.0,-20725814.0,-21837391.0,-19151769.0
Net Interest Income,1465117.0,1547290.0,-47065.0,-757887.0
Interest Expense,41439.0,6827.0,218431.0,535277.0
Interest Income,1685692.0,1749881.0,372688.0,25318.0
Normalized Income,-23343931.0,-20785470.8,-21615345.6,-18892254.2
Net Income From Continuing And Discontinued Operation,-23427927.0,-20755874.0,-22074848.0,-19689659.0
Total Expenses,26967857.0,25042047.0,24896467.0,21659901.0
Total Operating Income As Reported,-24235633.0,-22475562.0,-21409089.0,-19705354.0
Diluted Average Shares,83303512.0,78419306.0,77031302.0,68136596.0
Basic Average Shares,83303512.0,78419306.0,77031302.0,68136596.0
Diluted EPS,-0.28,-0.26,-0.29,-0.29
Basic EPS,-0.28,-0.26,-0.29,-0.29
Diluted NI Availto Com Stockholders,-23427927.0,-20755874.0,-22074848.0,-19689659.0
Net Income Common Stockholders,-23427927.0,-20755874.0,-22074848.0,-19689659.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-23427927.0,-20755874.0,-22074848.0,-19689659.0
Net Income Including Noncontrolling Interests,-23427927.0,-20755874.0,-22074848.0,-19689659.0
Net Income Continuous Operations,-23427927.0,-20755874.0,-22074848.0,-19689659.0
Tax Provision,30445.0,23233.0,19026.0,2613.0
Pretax Income,-23397482.0,-20732641.0,-22055822.0,-19687046.0
Special Income Charges,-45278.0,,,
Impairment Of Capital Assets,45278.0,,,
Net Non Operating Interest Income Expense,1465117.0,1547290.0,-47065.0,-757887.0
Total Other Finance Cost,179136.0,195764.0,201322.0,247928.0
Interest Expense Non Operating,41439.0,6827.0,218431.0,535277.0
Interest Income Non Operating,1685692.0,1749881.0,372688.0,25318.0
Operating Income,-24190355.0,-22475562.0,-21409091.0,-19705354.0
Operating Expense,26415876.0,24193004.0,24555974.0,21497526.0
Other Operating Expenses,3791850.0,3116925.0,4195153.0,2332868.0
Depreciation And Amortization In Income Statement,3174878.0,2878128.0,2381741.0,1960319.0
Amortization,134007.0,99111.0,64337.0,47439.0
Depreciation Income Statement,3040871.0,2779017.0,2317404.0,1912880.0
Research And Development,1560025.0,998885.0,1007692.0,930130.0
Selling General And Administration,2179572.0,1892934.0,2180184.0,1738972.0
Selling And Marketing Expense,627758.0,647985.0,824982.0,589075.0
General And Administrative Expense,1551814.0,1244949.0,1355202.0,1149897.0
Gross Profit,2225521.0,1717442.0,3146883.0,1792172.0
Cost Of Revenue,551981.0,849043.0,340493.0,162375.0
Total Revenue,2777502.0,2566485.0,3487376.0,1954547.0
Operating Revenue,2777502.0,2566485.0,3487376.0,1954547.0
