,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,-277688.0
Tax Rate For Calcs,0.0,0.0,0.206
Normalized EBITDA,-23825000.0,-34858000.0,-18091000.0
Total Unusual Items,2445000.0,9705000.0,-1348000.0
Total Unusual Items Excluding Goodwill,2445000.0,9705000.0,-1348000.0
Net Income From Continuing Operation Net Minority Interest,-23259000.0,-17265000.0,-30716000.0
Reconciled Depreciation,14728000.0,13629000.0,12260000.0
Reconciled Cost Of Revenue,56467000.0,45852000.0,35215000.0
EBITDA,-21380000.0,-25153000.0,-19439000.0
EBIT,-36108000.0,-38782000.0,-31699000.0
Net Interest Income,9055000.0,11078000.0,2143000.0
Interest Income,9055000.0,11078000.0,
Normalized Income,-25704000.0,-26970000.0,-29645688.0
Net Income From Continuing And Discontinued Operation,-23259000.0,-17265000.0,-30716000.0
Total Expenses,131644000.0,119237000.0,107648000.0
Total Operating Income As Reported,-23259000.0,-17265000.0,-30625000.0
Diluted Average Shares,162433356.0,155559599.0,137908356.0
Basic Average Shares,162433356.0,155559599.0,137908356.0
Diluted EPS,-0.14,-0.11,-0.23
Basic EPS,-0.14,-0.11,-0.23
Diluted NI Availto Com Stockholders,-23259000.0,-17265000.0,-30716000.0
Net Income Common Stockholders,-23259000.0,-17265000.0,-30716000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-23259000.0,-17265000.0,-30716000.0
Net Income Including Noncontrolling Interests,-23259000.0,-17265000.0,-30716000.0
Net Income Continuous Operations,-23259000.0,-17265000.0,-30716000.0
Tax Provision,0.0,0.0,91000.0
Pretax Income,-23259000.0,-17265000.0,-30625000.0
Special Income Charges,0.0,-54000.0,-2915000.0
Write Off,0.0,54000.0,2915000.0
Impairment Of Capital Assets,0.0,0.0,
Net Non Operating Interest Income Expense,9055000.0,11078000.0,2143000.0
Interest Income Non Operating,9055000.0,11078000.0,
Operating Income,-36108000.0,-38782000.0,-31699000.0
Operating Expense,75177000.0,73385000.0,72433000.0
Depreciation And Amortization In Income Statement,14728000.0,13629000.0,12260000.0
Amortization,7180000.0,6581000.0,6024000.0
Depreciation Income Statement,7548000.0,7048000.0,6236000.0
Selling General And Administration,18364000.0,17255000.0,22952000.0
General And Administrative Expense,18364000.0,17255000.0,22952000.0
Gross Profit,39069000.0,34603000.0,40734000.0
Cost Of Revenue,56467000.0,45852000.0,35215000.0
Total Revenue,95536000.0,80455000.0,75949000.0
Operating Revenue,95536000.0,80455000.0,75949000.0
