,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.206612,0.214
Normalized EBITDA,399000000.0,316000000.0,371000000.0,228700000.0
Net Income From Continuing Operation Net Minority Interest,308000000.0,243000000.0,288000000.0,171600000.0
Reconciled Depreciation,9000000.0,7000000.0,5000000.0,3900000.0
Reconciled Cost Of Revenue,528000000.0,434000000.0,369000000.0,248800000.0
EBITDA,399000000.0,316000000.0,371000000.0,228700000.0
EBIT,390000000.0,309000000.0,366000000.0,224800000.0
Net Interest Income,5000000.0,-4000000.0,-3000000.0,-12000000.0
Interest Expense,1000000.0,3000000.0,3000000.0,6400000.0
Interest Income,8000000.0,1000000.0,0.0,0.0
Normalized Income,308000000.0,243000000.0,288000000.0,171600000.0
Net Income From Continuing And Discontinued Operation,308000000.0,243000000.0,288000000.0,171600000.0
Total Expenses,1452000000.0,1251000000.0,984000000.0,666800000.0
Total Operating Income As Reported,386000000.0,310000000.0,367000000.0,230400000.0
Diluted Average Shares,113320723.0,112918918.0,112918918.0,107767104.0
Basic Average Shares,112918918.0,112918918.0,112918918.0,107767104.0
Diluted EPS,2.72,2.15,2.55,1.59
Basic EPS,2.73,2.15,2.55,1.59
Diluted NI Availto Com Stockholders,308000000.0,243000000.0,288000000.0,171600000.0
Net Income Common Stockholders,308000000.0,243000000.0,288000000.0,171600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,308000000.0,243000000.0,288000000.0,171600000.0
Net Income Including Noncontrolling Interests,308000000.0,243000000.0,288000000.0,171600000.0
Net Income Continuous Operations,308000000.0,243000000.0,288000000.0,171600000.0
Tax Provision,81000000.0,63000000.0,75000000.0,46800000.0
Pretax Income,389000000.0,306000000.0,363000000.0,218400000.0
Net Non Operating Interest Income Expense,5000000.0,-4000000.0,-3000000.0,-12000000.0
Total Other Finance Cost,2000000.0,2000000.0,,5600000.0
Interest Expense Non Operating,1000000.0,3000000.0,3000000.0,6400000.0
Interest Income Non Operating,8000000.0,1000000.0,0.0,0.0
Operating Income,388000000.0,309000000.0,347000000.0,230300000.0
Operating Expense,924000000.0,817000000.0,615000000.0,418000000.0
Other Operating Expenses,805000000.0,701000000.0,539000000.0,381100000.0
Depreciation And Amortization In Income Statement,9000000.0,7000000.0,5000000.0,3900000.0
Depreciation Income Statement,9000000.0,7000000.0,5000000.0,3900000.0
Selling General And Administration,,,539400000.0,363700000.0
General And Administrative Expense,,,539400000.0,363700000.0
Gross Profit,1312000000.0,1126000000.0,962000000.0,648300000.0
Cost Of Revenue,528000000.0,434000000.0,369000000.0,248800000.0
Total Revenue,1840000000.0,1560000000.0,1331000000.0,897100000.0
Operating Revenue,1840000000.0,1560000000.0,1331000000.0,897100000.0
