,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.24,0.24,0.303249
Normalized EBITDA,1403000000.0,1186000000.0,877000000.0
Net Income From Continuing Operation Net Minority Interest,702000000.0,541000000.0,386000000.0
Reconciled Depreciation,402000000.0,358000000.0,259000000.0
Reconciled Cost Of Revenue,3543000000.0,3343000000.0,2668000000.0
EBITDA,1403000000.0,1186000000.0,877000000.0
EBIT,1001000000.0,828000000.0,618000000.0
Net Interest Income,-31000000.0,-95000000.0,-67000000.0
Interest Expense,78000000.0,112000000.0,64000000.0
Interest Income,17000000.0,19000000.0,3000000.0
Normalized Income,702000000.0,541000000.0,386000000.0
Net Income From Continuing And Discontinued Operation,702000000.0,541000000.0,386000000.0
Total Expenses,5213000000.0,4794000000.0,3704000000.0
Total Operating Income As Reported,969000000.0,821000000.0,612000000.0
Diluted Average Shares,14624008.0,14624008.0,14624008.0
Basic Average Shares,14624008.0,14624008.0,14624008.0
Diluted EPS,48.003256,36.993962,26.394953
Basic EPS,48.003256,36.993962,26.394953
Diluted NI Availto Com Stockholders,702000000.0,541000000.0,386000000.0
Net Income Common Stockholders,702000000.0,541000000.0,386000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,702000000.0,541000000.0,386000000.0
Minority Interests,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,702000000.0,541000000.0,386000000.0
Net Income Continuous Operations,702000000.0,541000000.0,386000000.0
Tax Provision,221000000.0,175000000.0,168000000.0
Pretax Income,923000000.0,716000000.0,554000000.0
Net Non Operating Interest Income Expense,-31000000.0,-95000000.0,-67000000.0
Total Other Finance Cost,-30000000.0,2000000.0,6000000.0
Interest Expense Non Operating,78000000.0,112000000.0,64000000.0
Interest Income Non Operating,17000000.0,19000000.0,3000000.0
Operating Income,969000000.0,820000000.0,612000000.0
Operating Expense,1670000000.0,1451000000.0,1036000000.0
Other Operating Expenses,61000000.0,27000000.0,37000000.0
Selling General And Administration,1621000000.0,1426000000.0,1017000000.0
Selling And Marketing Expense,940000000.0,843000000.0,613000000.0
General And Administrative Expense,681000000.0,583000000.0,404000000.0
Gross Profit,2639000000.0,2271000000.0,1648000000.0
Cost Of Revenue,3543000000.0,3343000000.0,2668000000.0
Total Revenue,6182000000.0,5614000000.0,4316000000.0
Operating Revenue,6182000000.0,5614000000.0,4316000000.0
