,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,15155214.0,0.0,0.0
Tax Rate For Calcs,0.206,0.206,0.206,0.206
Normalized EBITDA,104285000.0,-168822000.0,-219311000.0,-250065000.0
Total Unusual Items,0.0,73569000.0,0.0,
Total Unusual Items Excluding Goodwill,0.0,73569000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,78215000.0,-179679000.0,-286375000.0,-300394000.0
Reconciled Depreciation,81823000.0,71323000.0,57694000.0,40028000.0
Reconciled Cost Of Revenue,1179505000.0,1115531000.0,920510000.0,652226000.0
EBITDA,104285000.0,-95253000.0,-219311000.0,-250065000.0
EBIT,22462000.0,-166576000.0,-277005000.0,-290093000.0
Net Interest Income,74466000.0,14142000.0,72377000.0,-73472000.0
Interest Expense,5507000.0,4331000.0,3261000.0,5025000.0
Interest Income,23805000.0,24740000.0,4087000.0,17049000.0
Normalized Income,78215000.0,-238092786.0,-286375000.0,-300394000.0
Net Income From Continuing And Discontinued Operation,78215000.0,-179679000.0,-286375000.0,-300394000.0
Total Expenses,2001211000.0,1894990000.0,1743009000.0,1247348000.0
Total Operating Income As Reported,-57511000.0,-258618000.0,-352643000.0,-221646000.0
Diluted Average Shares,187732000.0,181068000.0,179685000.0,157255961.0
Basic Average Shares,181068000.0,181068000.0,179685000.0,157255961.0
Diluted EPS,0.42,-0.99,-1.59,-1.91
Basic EPS,0.43,-0.99,-1.59,-1.91
Diluted NI Availto Com Stockholders,78215000.0,-179679000.0,-286375000.0,-300394000.0
Net Income Common Stockholders,78215000.0,-179679000.0,-286375000.0,-300394000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,78215000.0,-179679000.0,-286375000.0,-300394000.0
Net Income Including Noncontrolling Interests,78215000.0,-179679000.0,-286375000.0,-300394000.0
Net Income Continuous Operations,78215000.0,-179679000.0,-286375000.0,-300394000.0
Tax Provision,-61260000.0,8772000.0,6109000.0,5276000.0
Pretax Income,16955000.0,-170907000.0,-280266000.0,-295118000.0
Special Income Charges,0.0,73569000.0,0.0,
Restructuring And Mergern Acquisition,0.0,-73569000.0,0.0,
Net Non Operating Interest Income Expense,74466000.0,14142000.0,72377000.0,-73472000.0
Total Other Finance Cost,-56168000.0,6267000.0,-71551000.0,85496000.0
Interest Expense Non Operating,5507000.0,4331000.0,3261000.0,5025000.0
Interest Income Non Operating,23805000.0,24740000.0,4087000.0,17049000.0
Operating Income,-57510000.0,-258619000.0,-352643000.0,-221646000.0
Operating Expense,821706000.0,779459000.0,822499000.0,595122000.0
Research And Development,188065000.0,179770000.0,203844000.0,121161000.0
Selling General And Administration,637821000.0,600892000.0,620330000.0,478834000.0
Selling And Marketing Expense,414377000.0,386889000.0,399635000.0,270103000.0
General And Administrative Expense,223444000.0,214003000.0,220695000.0,208731000.0
Gross Profit,764196000.0,520840000.0,469856000.0,373476000.0
Cost Of Revenue,1179505000.0,1115531000.0,920510000.0,652226000.0
Total Revenue,1943701000.0,1636371000.0,1390366000.0,1025702000.0
Operating Revenue,1943701000.0,1636371000.0,1390366000.0,1025702000.0
