,2024-12-31,2023-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.35,0.35
Normalized EBITDA,46400000.0,-512000.0,20749000.0,10742000.0
Total Unusual Items,-52300000.0,10400000.0,,
Total Unusual Items Excluding Goodwill,-52300000.0,10400000.0,,
Net Income From Continuing Operation Net Minority Interest,-80200000.0,4600000.0,403000.0,-15931000.0
Reconciled Depreciation,21232538.0,15688000.0,14593000.0,19404000.0
Reconciled Cost Of Revenue,1700000.0,1200000.0,4564000.0,2967000.0
EBITDA,-5900000.0,9888000.0,20749000.0,10742000.0
EBIT,-27100000.0,-5800000.0,6156000.0,-8665000.0
Net Interest Income,-1100000.0,-200000.0,-6272000.0,-6943000.0
Interest Expense,,,6272000.0,6943000.0
Normalized Income,-27900000.0,-5800000.0,403000.0,-15931000.0
Net Income From Continuing And Discontinued Operation,-80200000.0,4600000.0,-62000.0,-17684000.0
Total Expenses,58800000.0,43700000.0,76418000.0,71692000.0
Total Operating Income As Reported,,,6156000.0,-8665000.0
Diluted Average Shares,134707974.0,134708000.0,134708000.0,134708000.0
Basic Average Shares,134707974.0,134708000.0,134708000.0,134708000.0
Diluted EPS,-0.595362,0.034148,-0.00046,-0.131277
Basic EPS,-0.595362,0.034148,-0.00046,-0.131277
Diluted NI Availto Com Stockholders,-80200000.0,4600000.0,-62000.0,-17684000.0
Net Income Common Stockholders,-80200000.0,4600000.0,-62000.0,-17684000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-80200000.0,4600000.0,-62000.0,-17684000.0
Net Income Including Noncontrolling Interests,-80200000.0,4600000.0,-62000.0,-17684000.0
Net Income Discontinuous Operations,,,-465000.0,-1753000.0
Net Income Continuous Operations,-80200000.0,4600000.0,403000.0,-15931000.0
Tax Provision,0.0,0.0,-519000.0,323000.0
Pretax Income,-80200000.0,4600000.0,-116000.0,-15608000.0
Other Non Operating Income Expenses,300000.0,200000.0,,
Special Income Charges,-52300000.0,10400000.0,,
Other Special Charges,1300000.0,,,
Impairment Of Capital Assets,51000000.0,0.0,,
Restructuring And Mergern Acquisition,0.0,-10400000.0,,
Net Non Operating Interest Income Expense,-1100000.0,-200000.0,-6272000.0,-6943000.0
Interest Expense Non Operating,,,6272000.0,6943000.0
Operating Income,-27100000.0,-5800000.0,6156000.0,-8665000.0
Operating Expense,57100000.0,42500000.0,71854000.0,68725000.0
Other Operating Expenses,1900000.0,,7013000.0,6025000.0
Depreciation And Amortization In Income Statement,21200000.0,15500000.0,14593000.0,19407000.0
Depreciation Income Statement,21200000.0,15500000.0,14593000.0,19407000.0
Selling General And Administration,10900000.0,8500000.0,28189000.0,17960000.0
Selling And Marketing Expense,1400000.0,800000.0,23005000.0,14900000.0
General And Administrative Expense,9500000.0,7700000.0,5184000.0,3060000.0
Gross Profit,30000000.0,36700000.0,78010000.0,60060000.0
Cost Of Revenue,1700000.0,1200000.0,4564000.0,2967000.0
Total Revenue,31800000.0,37800000.0,82574000.0,63027000.0
Operating Revenue,31800000.0,37800000.0,82574000.0,63027000.0
