,2024-12-31,2023-12-31
Tax Effect Of Unusual Items,10387037.037037,7330291.970803
Tax Rate For Calcs,0.365741,0.375912
Normalized EBITDA,84300000.0,92500000.0
Total Unusual Items,28400000.0,19500000.0
Total Unusual Items Excluding Goodwill,28400000.0,19500000.0
Net Income From Continuing Operation Net Minority Interest,13800000.0,17200000.0
Reconciled Depreciation,72800000.0,65600000.0
Reconciled Cost Of Revenue,563100000.0,593700000.0
EBITDA,112700000.0,112000000.0
EBIT,39900000.0,46400000.0
Net Interest Income,-16900000.0,-17800000.0
Interest Expense,18300000.0,19000000.0
Interest Income,1400000.0,2700000.0
Normalized Income,-4212962.962963,5030291.970803
Net Income From Continuing And Discontinued Operation,13800000.0,17200000.0
Total Expenses,908600000.0,932500000.0
Total Operating Income As Reported,33500000.0,41800000.0
Diluted Average Shares,,13678259.0
Basic Average Shares,,13678259.0
Diluted EPS,,1.26
Basic EPS,,1.26
Diluted NI Availto Com Stockholders,13800000.0,17200000.0
Net Income Common Stockholders,13800000.0,17200000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,13800000.0,17200000.0
Net Income Including Noncontrolling Interests,13700000.0,17100000.0
Net Income Continuous Operations,13700000.0,17100000.0
Tax Provision,7900000.0,10300000.0
Pretax Income,21600000.0,27400000.0
Special Income Charges,23500000.0,18000000.0
Restructuring And Mergern Acquisition,-23500000.0,-18000000.0
Net Non Operating Interest Income Expense,-16900000.0,-17800000.0
Total Other Finance Cost,,1500000.0
Interest Expense Non Operating,18300000.0,19000000.0
Interest Income Non Operating,1400000.0,2700000.0
Operating Income,9900000.0,23600000.0
Operating Expense,345500000.0,338800000.0
Other Operating Expenses,177300000.0,181700000.0
Depreciation And Amortization In Income Statement,72800000.0,65600000.0
Depreciation Income Statement,72800000.0,65600000.0
Gross Profit,355400000.0,362400000.0
Cost Of Revenue,563100000.0,593700000.0
Total Revenue,918500000.0,956100000.0
Operating Revenue,918500000.0,956100000.0
