,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,2240000.0,41340000.0,16643571.978445,16890651.558074
Tax Rate For Calcs,0.16,0.13,0.177059,0.145609
Normalized EBITDA,3344000000.0,2764000000.0,2502000000.0,2998000000.0
Total Unusual Items,14000000.0,318000000.0,94000000.0,116000000.0
Total Unusual Items Excluding Goodwill,14000000.0,318000000.0,94000000.0,116000000.0
Net Income From Continuing Operation Net Minority Interest,1571000000.0,1573000000.0,1069000000.0,1508000000.0
Reconciled Depreciation,1271000000.0,1219000000.0,1231000000.0,1307000000.0
Reconciled Cost Of Revenue,56330000000.0,52245000000.0,50202000000.0,48894000000.0
EBITDA,3358000000.0,3082000000.0,2596000000.0,3114000000.0
EBIT,2087000000.0,1863000000.0,1365000000.0,1807000000.0
Net Interest Income,-204000000.0,-33000000.0,-72000000.0,-72000000.0
Interest Expense,224000000.0,60000000.0,66000000.0,42000000.0
Interest Income,40000000.0,43000000.0,14000000.0,7000000.0
Normalized Income,1559240000.0,1296340000.0,991643571.978445,1408890651.558074
Net Income From Continuing And Discontinued Operation,1571000000.0,1573000000.0,1069000000.0,1508000000.0
Total Expenses,59553000000.0,55401000000.0,53183000000.0,51702000000.0
Total Operating Income As Reported,2032000000.0,1802000000.0,1358000000.0,1825000000.0
Diluted Average Shares,97700000.0,97600000.0,103900000.0,107600000.0
Basic Average Shares,97700000.0,97600000.0,103900000.0,107600000.0
Diluted EPS,16.08,16.11,10.29,14.02
Basic EPS,16.08,16.11,10.29,14.02
Diluted NI Availto Com Stockholders,1571000000.0,1573000000.0,1069000000.0,1508000000.0
Net Income Common Stockholders,1571000000.0,1573000000.0,1069000000.0,1508000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1571000000.0,1573000000.0,1069000000.0,1508000000.0
Net Income Including Noncontrolling Interests,1571000000.0,1573000000.0,1069000000.0,1508000000.0
Net Income Continuous Operations,1571000000.0,1573000000.0,1069000000.0,1508000000.0
Tax Provision,292000000.0,230000000.0,230000000.0,257000000.0
Pretax Income,1863000000.0,1803000000.0,1299000000.0,1765000000.0
Special Income Charges,-19000000.0,282000000.0,81000000.0,103000000.0
Other Special Charges,-8000000.0,-284000000.0,-81000000.0,-119000000.0
Impairment Of Capital Assets,27000000.0,2000000.0,0.0,16000000.0
Net Non Operating Interest Income Expense,-204000000.0,-33000000.0,-72000000.0,-72000000.0
Total Other Finance Cost,20000000.0,16000000.0,20000000.0,37000000.0
Interest Expense Non Operating,224000000.0,60000000.0,66000000.0,42000000.0
Interest Income Non Operating,40000000.0,43000000.0,14000000.0,7000000.0
Operating Income,2056000000.0,1531000000.0,1015000000.0,1712000000.0
Operating Expense,3223000000.0,3156000000.0,2981000000.0,2808000000.0
Other Operating Expenses,25000000.0,-271000000.0,,
Selling General And Administration,3223000000.0,3156000000.0,2981000000.0,2808000000.0
General And Administrative Expense,3223000000.0,3156000000.0,2981000000.0,2808000000.0
Gross Profit,5279000000.0,4687000000.0,3996000000.0,4520000000.0
Cost Of Revenue,56330000000.0,52245000000.0,50202000000.0,48894000000.0
Total Revenue,61609000000.0,56932000000.0,54198000000.0,53414000000.0
Operating Revenue,61609000000.0,56932000000.0,54198000000.0,53414000000.0
