,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,-14402.076349,0.0
Tax Rate For Calcs,0.251719,0.376082,0.232292,0.222946
Normalized EBITDA,25687000.0,6618000.0,11164000.0,8758716.0
Total Unusual Items,,-73000.0,-62000.0,
Total Unusual Items Excluding Goodwill,,-73000.0,-62000.0,
Net Income From Continuing Operation Net Minority Interest,12563000.0,1513000.0,7098000.0,6070298.0
Reconciled Depreciation,4637000.0,2656000.0,1588000.0,54266.0
Reconciled Cost Of Revenue,363782000.0,60060000.0,24257000.0,12144188.0
EBITDA,25687000.0,6618000.0,11102000.0,8758716.0
EBIT,21050000.0,3962000.0,9514000.0,8704450.0
Net Interest Income,-3125000.0,-1508000.0,-280000.0,-14412.0
Interest Expense,4035000.0,1537000.0,267000.0,14412.0
Interest Income,950000.0,58000.0,0.0,4000.0
Normalized Income,12563000.0,1513000.0,7145597.923651,6070298.0
Net Income From Continuing And Discontinued Operation,12563000.0,1513000.0,7098000.0,6070298.0
Total Expenses,386838000.0,69932000.0,32680000.0,17049690.0
Total Operating Income As Reported,20138000.0,3919000.0,9588000.0,8704450.0
Diluted Average Shares,4854136.0,3718718.0,3402411.0,3620000.0
Basic Average Shares,4854136.0,3718718.0,3402411.0,3620000.0
Diluted EPS,2.59,0.41,2.09,1.676878
Basic EPS,2.59,0.41,2.09,1.676878
Diluted NI Availto Com Stockholders,12563000.0,1513000.0,7098000.0,6070298.0
Net Income Common Stockholders,12563000.0,1513000.0,7098000.0,6070298.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,12563000.0,1513000.0,7098000.0,6070298.0
Minority Interests,-170000.0,0.0,0.0,-682329.0
Net Income Including Noncontrolling Interests,12733000.0,1513000.0,7098000.0,6752627.0
Net Income Continuous Operations,12732000.0,1513000.0,7099000.0,6752627.0
Tax Provision,4283000.0,912000.0,2148000.0,1937411.0
Pretax Income,17015000.0,2425000.0,9247000.0,8690038.0
Special Income Charges,,-73000.0,-62000.0,
Restructuring And Mergern Acquisition,,73000.0,62000.0,
Net Non Operating Interest Income Expense,-3125000.0,-1508000.0,-280000.0,-14412.0
Total Other Finance Cost,40000.0,29000.0,13000.0,
Interest Expense Non Operating,4035000.0,1537000.0,267000.0,14412.0
Interest Income Non Operating,950000.0,58000.0,0.0,4000.0
Operating Income,20070000.0,3844000.0,9571000.0,8704449.0
Operating Expense,23056000.0,9872000.0,8423000.0,4905502.0
Other Operating Expenses,7572000.0,4854000.0,2828000.0,4888273.0
Depreciation And Amortization In Income Statement,4637000.0,2656000.0,1588000.0,54266.0
Depreciation Income Statement,4637000.0,2656000.0,1588000.0,54266.0
Selling General And Administration,12510000.0,3687000.0,4007000.0,4883000.0
Selling And Marketing Expense,1997000.0,1104000.0,385000.0,
General And Administrative Expense,10513000.0,2583000.0,3622000.0,4883000.0
Gross Profit,43126000.0,13716000.0,17994000.0,13609951.0
Cost Of Revenue,363782000.0,60060000.0,24257000.0,12144188.0
Total Revenue,406908000.0,73776000.0,42251000.0,25754139.0
Operating Revenue,406908000.0,73776000.0,42251000.0,25754139.0
