,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,12500000.0,12500000.0,12500000.0
Share Issued,12500000.0,12500000.0,12500000.0
Tangible Book Value,60303000.0,13963000.0,20900000.0
Invested Capital,77542000.0,21814000.0,
Working Capital,59583000.0,11228000.0,
Net Tangible Assets,60303000.0,13963000.0,20900000.0
Common Stock Equity,77542000.0,21814000.0,20900000.0
Total Capitalization,77542000.0,21814000.0,20900000.0
Total Equity Gross Minority Interest,77542000.0,21814000.0,20900000.0
Stockholders Equity,77542000.0,21814000.0,20900000.0
Retained Earnings,32225000.0,21639000.0,
Additional Paid In Capital,44692000.0,125000.0,
Capital Stock,625000.0,50000.0,
Common Stock,625000.0,50000.0,
Total Liabilities Net Minority Interest,16882000.0,9024000.0,9927000.0
Total Non Current Liabilities Net Minority Interest,2896000.0,1697000.0,
Other Non Current Liabilities,1198000.0,-1000.0,
Non Current Deferred Taxes Liabilities,1698000.0,1698000.0,
Current Liabilities,13986000.0,7327000.0,
Other Current Liabilities,1116000.0,2196000.0,
Current Deferred Taxes Liabilities,1608000.0,,
Payables,9247000.0,4272000.0,
Total Tax Payable,1608000.0,0.0,
Accounts Payable,7639000.0,4272000.0,
Total Assets,94424000.0,30838000.0,30827000.0
Total Non Current Assets,20855000.0,12283000.0,
Goodwill And Other Intangible Assets,17239000.0,7851000.0,
Other Intangible Assets,17239000.0,7851000.0,
Net PPE,1616000.0,2432000.0,
Accumulated Depreciation,-1764000.0,-948000.0,
Gross PPE,3380000.0,3380000.0,
Other Properties,2962000.0,,
Machinery Furniture Equipment,2962000.0,2962000.0,
Buildings And Improvements,418000.0,418000.0,
Properties,0.0,0.0,
Current Assets,73569000.0,18555000.0,
Other Current Assets,3579000.0,,
Other Receivables,5099000.0,4861000.0,
Taxes Receivable,14000.0,1370000.0,
Accounts Receivable,7073000.0,6070000.0,
Cash Cash Equivalents And Short Term Investments,61383000.0,6254000.0,
Cash And Cash Equivalents,61383000.0,6254000.0,
Cash Financial,61383000.0,6254000.0,
