,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,42094095.0,42094095.0,42094095.0
Share Issued,42094095.0,42094095.0,42094095.0
Net Debt,,537000.0,
Total Debt,339000.0,896000.0,1003000.0
Tangible Book Value,-31570000.0,-16499000.0,30986000.0
Invested Capital,31024000.0,34804000.0,70158000.0
Working Capital,-15429000.0,-8028000.0,32609000.0
Net Tangible Assets,-31570000.0,-16499000.0,30986000.0
Common Stock Equity,30685000.0,33908000.0,69155000.0
Total Capitalization,30904000.0,34577000.0,69997000.0
Total Equity Gross Minority Interest,30685000.0,33908000.0,69155000.0
Minority Interest,0.0,,
Stockholders Equity,30685000.0,33908000.0,69155000.0
Other Equity Interest,-82187000.0,-52890000.0,-17818000.0
Additional Paid In Capital,110162000.0,85130000.0,85130000.0
Capital Stock,2105000.0,2031000.0,2031000.0
Common Stock,2105000.0,2031000.0,2031000.0
Total Liabilities Net Minority Interest,68576000.0,35033000.0,22124000.0
Total Non Current Liabilities Net Minority Interest,19623000.0,12092000.0,5777000.0
Other Non Current Liabilities,1334000.0,8001000.0,3935000.0
Tradeand Other Payables Non Current,17070000.0,,
Long Term Debt And Capital Lease Obligation,219000.0,669000.0,842000.0
Long Term Debt,219000.0,669000.0,842000.0
Long Term Provisions,1000000.0,3422000.0,1000000.0
Current Liabilities,48953000.0,22941000.0,16347000.0
Other Current Liabilities,18464000.0,6404000.0,2432000.0
Current Debt And Capital Lease Obligation,120000.0,227000.0,161000.0
Current Debt,120000.0,227000.0,161000.0
Payables,18494000.0,8403000.0,8443000.0
Accounts Payable,18494000.0,8403000.0,8443000.0
Total Assets,99261000.0,68941000.0,91279000.0
Total Non Current Assets,65737000.0,54028000.0,42322000.0
Non Current Deferred Taxes Assets,602000.0,602000.0,602000.0
Goodwill And Other Intangible Assets,62255000.0,50407000.0,38169000.0
Other Intangible Assets,62255000.0,50407000.0,38169000.0
Net PPE,756000.0,1203000.0,1389000.0
Gross PPE,756000.0,1203000.0,1389000.0
Other Properties,756000.0,1203000.0,1389000.0
Current Assets,33524000.0,14913000.0,48956000.0
Other Current Assets,,,-1000.0
Current Deferred Assets,,3506000.0,3572000.0
Prepaid Assets,58000.0,6000.0,0.0
Other Receivables,10590000.0,5995000.0,6483000.0
Taxes Receivable,879000.0,784000.0,484000.0
Accounts Receivable,10808000.0,7769000.0,14901000.0
Cash Cash Equivalents And Short Term Investments,11189000.0,359000.0,27089000.0
Cash And Cash Equivalents,11189000.0,359000.0,27089000.0
Cash Financial,,359000.0,27089000.0
