,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,4025725.0,4025725.0,4025725.0
Share Issued,4025725.0,4025725.0,4025725.0
Tangible Book Value,40383000.0,46310000.0,21772000.0
Net Tangible Assets,40383000.0,46310000.0,21772000.0
Common Stock Equity,40383000.0,46310000.0,21772000.0
Total Equity Gross Minority Interest,40383000.0,46310000.0,21772000.0
Stockholders Equity,40383000.0,46310000.0,21772000.0
Retained Earnings,37181000.0,43108000.0,18571000.0
Additional Paid In Capital,1712000.0,1712000.0,1737000.0
Capital Stock,1490000.0,1490000.0,1464000.0
Common Stock,1490000.0,1490000.0,1464000.0
Total Liabilities Net Minority Interest,36157000.0,31654000.0,10982000.0
Payables,5249000.0,17832000.0,6728000.0
Other Payable,5249000.0,17832000.0,6728000.0
Total Assets,76540000.0,77964000.0,32754000.0
Investments And Advances,402000.0,,
Investmentin Financial Assets,402000.0,,
Available For Sale Securities,402000.0,,
Receivables,,24701000.0,12309000.0
Cash And Cash Equivalents,54402000.0,,
Cash Equivalents,0.0,,
Cash Financial,54402000.0,,
Cash Cash Equivalents And Federal Funds Sold,54402000.0,,
