,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2020-08-31
Ordinary Shares Number,24907000.0,24907000.0,24907100.0,24907000.0,,
Share Issued,24907000.0,24907000.0,24907100.0,24907000.0,,
Net Debt,1788000000.0,,,,,
Total Debt,2406000000.0,692000000.0,310000000.0,186000000.0,,
Tangible Book Value,1666000000.0,1510000000.0,979000000.0,973000000.0,,
Invested Capital,3810000000.0,1964000000.0,1284000000.0,1164000000.0,,
Working Capital,2275000000.0,1914000000.0,1191000000.0,1310000000.0,,
Net Tangible Assets,1666000000.0,1510000000.0,979000000.0,973000000.0,,
Capital Lease Obligations,262000000.0,238000000.0,9000000.0,6000000.0,,
Common Stock Equity,1666000000.0,1510000000.0,983000000.0,984000000.0,,
Total Capitalization,2225000000.0,1810000000.0,1209000000.0,1003000000.0,,
Total Equity Gross Minority Interest,1745000000.0,1579000000.0,1044000000.0,1264000000.0,,
Minority Interest,79000000.0,69000000.0,61000000.0,280000000.0,,
Stockholders Equity,1666000000.0,1510000000.0,983000000.0,984000000.0,,
Other Equity Interest,-2000000.0,,,-1000000.0,,
Retained Earnings,1361000000.0,1262000000.0,727000000.0,770000000.0,,
Additional Paid In Capital,191000000.0,191000000.0,191000000.0,191000000.0,,
Capital Stock,25000000.0,25000000.0,25000000.0,25000000.0,,
Common Stock,25000000.0,25000000.0,25000000.0,25000000.0,,
Total Liabilities Net Minority Interest,2817000000.0,1229000000.0,875000000.0,621000000.0,,
Total Non Current Liabilities Net Minority Interest,850000000.0,640000000.0,308000000.0,105000000.0,,
Other Non Current Liabilities,40000000.0,110000000.0,75000000.0,65000000.0,,
Non Current Deferred Taxes Liabilities,2000000.0,2000000.0,2000000.0,18000000.0,,
Long Term Debt And Capital Lease Obligation,808000000.0,528000000.0,231000000.0,22000000.0,,
Long Term Capital Lease Obligation,249000000.0,228000000.0,5000000.0,3000000.0,,
Long Term Debt,559000000.0,300000000.0,226000000.0,19000000.0,,
Long Term Provisions,,,,,1000000.0,588000.0
Current Liabilities,1967000000.0,589000000.0,567000000.0,516000000.0,,
Other Current Liabilities,71000000.0,130000000.0,12000000.0,31000000.0,,
Current Debt And Capital Lease Obligation,1598000000.0,164000000.0,79000000.0,164000000.0,,
Current Capital Lease Obligation,13000000.0,10000000.0,4000000.0,3000000.0,,
Current Debt,1585000000.0,154000000.0,75000000.0,161000000.0,,
Payables,165000000.0,153000000.0,274000000.0,190000000.0,,
Total Tax Payable,37000000.0,41000000.0,0.0,4000000.0,,
Accounts Payable,128000000.0,112000000.0,274000000.0,186000000.0,,
Total Assets,4562000000.0,2808000000.0,1919000000.0,1885000000.0,,
Total Non Current Assets,320000000.0,305000000.0,161000000.0,59000000.0,,
Other Non Current Assets,1000000.0,1000000.0,,,,
Non Current Deferred Taxes Assets,9000000.0,17000000.0,41000000.0,6000000.0,,
Investmentin Financial Assets,1000000.0,1000000.0,43000000.0,16000000.0,,
Available For Sale Securities,1000000.0,1000000.0,43000000.0,16000000.0,,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,1000000.0,43000000.0,16000000.0,15000000.0,
Long Term Equity Investment,30000000.0,28000000.0,30000000.0,0.0,,
Investmentsin Associatesat Cost,30000000.0,28000000.0,30000000.0,0.0,,
Goodwill And Other Intangible Assets,0.0,0.0,4000000.0,11000000.0,,
Net PPE,279000000.0,258000000.0,43000000.0,26000000.0,,
Accumulated Depreciation,-44000000.0,-54000000.0,-53000000.0,-47000000.0,,
Gross PPE,323000000.0,312000000.0,96000000.0,73000000.0,,
Other Properties,284000000.0,250000000.0,56000000.0,35000000.0,,
Machinery Furniture Equipment,17000000.0,24000000.0,,,,
Properties,22000000.0,38000000.0,40000000.0,38000000.0,,
Current Assets,4242000000.0,2503000000.0,1758000000.0,1826000000.0,,
Other Current Assets,-1000000.0,,-1000000.0,1000000.0,1000000.0,
Hedging Assets Current,2000000.0,4000000.0,0.0,2000000.0,,
Prepaid Assets,372000000.0,190000000.0,238000000.0,173000000.0,,
Inventory,3408000000.0,1202000000.0,772000000.0,843000000.0,,
Other Inventories,,,1000000.0,,,
Finished Goods,,,1000000.0,4000000.0,6000000.0,
Work In Process,3408000000.0,1202000000.0,771000000.0,839000000.0,,
Other Receivables,69000000.0,451000000.0,12000000.0,35000000.0,,
Taxes Receivable,29000000.0,42000000.0,74000000.0,76000000.0,,
Accounts Receivable,7000000.0,39000000.0,95000000.0,71000000.0,,
Cash Cash Equivalents And Short Term Investments,356000000.0,575000000.0,568000000.0,625000000.0,,
Cash And Cash Equivalents,356000000.0,575000000.0,568000000.0,625000000.0,,
Cash Financial,356000000.0,,568000000.0,625000000.0,,799863000.0
