,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,10000000.0,10000000.0,10000000.0
Share Issued,10000000.0,10000000.0,10000000.0
Net Debt,,,13667000.0
Total Debt,31085000.0,34916000.0,62798000.0
Tangible Book Value,112429000.0,85838000.0,64941000.0
Invested Capital,163725000.0,131960000.0,123031000.0
Working Capital,110612000.0,79179000.0,77064000.0
Net Tangible Assets,112429000.0,85838000.0,64941000.0
Capital Lease Obligations,31085000.0,34916000.0,40948000.0
Common Stock Equity,163725000.0,131960000.0,101181000.0
Total Capitalization,163725000.0,131960000.0,123031000.0
Total Equity Gross Minority Interest,163725000.0,131960000.0,101181000.0
Stockholders Equity,163725000.0,131960000.0,101181000.0
Retained Earnings,162068000.0,117712000.0,86563000.0
Additional Paid In Capital,0.0,13927000.0,13927000.0
Capital Stock,500000.0,100000.0,100000.0
Common Stock,500000.0,100000.0,100000.0
Total Liabilities Net Minority Interest,94973000.0,87253000.0,117204000.0
Total Non Current Liabilities Net Minority Interest,36418000.0,36252000.0,62058000.0
Other Non Current Liabilities,1918000.0,,
Non Current Deferred Taxes Liabilities,10007000.0,7436000.0,5292000.0
Long Term Debt And Capital Lease Obligation,24493000.0,28816000.0,56766000.0
Long Term Capital Lease Obligation,24493000.0,28816000.0,34916000.0
Long Term Debt,0.0,0.0,21850000.0
Current Liabilities,58555000.0,51001000.0,55146000.0
Other Current Liabilities,3853000.0,3694000.0,2809000.0
Current Debt And Capital Lease Obligation,6592000.0,6100000.0,6032000.0
Current Capital Lease Obligation,6592000.0,6100000.0,6032000.0
Payables,14827000.0,16161000.0,22538000.0
Other Payable,,1282000.0,404000.0
Total Tax Payable,970000.0,2638000.0,6023000.0
Accounts Payable,13857000.0,12241000.0,16111000.0
Total Assets,258698000.0,219213000.0,218385000.0
Total Non Current Assets,89531000.0,89033000.0,86175000.0
Non Current Deferred Taxes Assets,529000.0,9000.0,230000.0
Investmentin Financial Assets,3213000.0,3158000.0,3158000.0
Available For Sale Securities,3213000.0,3158000.0,3158000.0
Goodwill And Other Intangible Assets,51296000.0,46122000.0,36240000.0
Other Intangible Assets,20764000.0,15590000.0,5708000.0
Goodwill,30532000.0,30532000.0,30532000.0
Net PPE,34493000.0,39694000.0,46495000.0
Gross PPE,34493000.0,39694000.0,46495000.0
Other Properties,34493000.0,39694000.0,46495000.0
Current Assets,169167000.0,130180000.0,132210000.0
Prepaid Assets,0.0,0.0,0.0
Inventory,26207000.0,31430000.0,20228000.0
Other Inventories,26207000.0,31430000.0,20228000.0
Finished Goods,0.0,0.0,0.0
Other Receivables,81498000.0,45436000.0,43991000.0
Taxes Receivable,0.0,874000.0,0.0
Accounts Receivable,56437000.0,48317000.0,59808000.0
Cash Cash Equivalents And Short Term Investments,5025000.0,4123000.0,8183000.0
Cash And Cash Equivalents,5025000.0,4123000.0,8183000.0
Cash Financial,5025000.0,4123000.0,8183000.0
