,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,27682082.0,19015809.0,19015809.0
Share Issued,27682082.0,19015809.0,19015809.0
Net Debt,13013340.0,7226457.0,
Total Debt,14000000.0,7500000.0,
Tangible Book Value,-31623287.0,-14295045.0,7498000.0
Invested Capital,29202819.0,14070189.0,
Working Capital,-22091821.0,-7966887.0,
Net Tangible Assets,-31623287.0,-14295045.0,7498000.0
Common Stock Equity,15202819.0,6570189.0,7498000.0
Total Capitalization,25836819.0,14070189.0,7498000.0
Total Equity Gross Minority Interest,15202819.0,6570189.0,7498000.0
Stockholders Equity,15202819.0,6570189.0,7498000.0
Other Equity Interest,46070106.0,19707419.0,
Retained Earnings,-105595895.0,-39159983.0,
Additional Paid In Capital,73565961.0,25984885.0,
Capital Stock,1162647.0,37868.0,
Common Stock,1162647.0,37868.0,
Total Liabilities Net Minority Interest,39522720.0,17044831.0,7065000.0
Total Non Current Liabilities Net Minority Interest,10634000.0,7500000.0,
Long Term Debt And Capital Lease Obligation,10634000.0,7500000.0,
Long Term Debt,10634000.0,7500000.0,
Current Liabilities,28888720.0,9544831.0,
Other Current Liabilities,7662586.0,2873326.0,
Current Debt And Capital Lease Obligation,3366000.0,0.0,
Current Debt,3366000.0,0.0,
Payables,1569604.0,4546459.0,
Other Payable,,144035.0,
Total Tax Payable,260973.0,128748.0,
Accounts Payable,1308631.0,4273676.0,
Total Assets,54725539.0,23615020.0,14563000.0
Total Non Current Assets,47928640.0,22037076.0,
Long Term Equity Investment,0.0,,
Goodwill And Other Intangible Assets,46826106.0,20865234.0,
Other Intangible Assets,46070106.0,19705234.0,
Goodwill,756000.0,1160000.0,
Net PPE,997534.0,900842.0,
Accumulated Depreciation,-506906.0,-250405.0,
Gross PPE,1504440.0,1151247.0,
Machinery Furniture Equipment,1504440.0,1151247.0,
Current Assets,6796899.0,1577944.0,
Prepaid Assets,658790.0,861314.0,
Inventory,0.0,71726.0,
Finished Goods,0.0,71726.0,
Other Receivables,5065748.0,361361.0,
Taxes Receivable,31570.0,0.0,
Accounts Receivable,54131.0,10000.0,
Cash Cash Equivalents And Short Term Investments,986660.0,273543.0,
Cash And Cash Equivalents,986660.0,273543.0,
Cash Financial,986660.0,273543.0,
