,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,200543697.0,165028294.0,165028294.0
Share Issued,200543697.0,165028294.0,165028294.0
Net Debt,,3288000.0,2891000.0
Total Debt,9918000.0,0.0,2891000.0
Tangible Book Value,3996000.0,11673000.0,11496000.0
Invested Capital,28391000.0,18496000.0,2891000.0
Working Capital,3608000.0,11249000.0,
Net Tangible Assets,3996000.0,11673000.0,11496000.0
Common Stock Equity,18473000.0,18496000.0,11496000.0
Total Capitalization,18473000.0,18496000.0,14387000.0
Total Equity Gross Minority Interest,18474000.0,18496000.0,11496000.0
Stockholders Equity,18473000.0,18496000.0,11496000.0
Retained Earnings,-84269000.0,-61858000.0,
Additional Paid In Capital,80604000.0,71770000.0,
Capital Stock,8690000.0,2401000.0,
Common Stock,8690000.0,2401000.0,
Total Liabilities Net Minority Interest,14782000.0,3288000.0,2891000.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,2891000.0
Long Term Debt And Capital Lease Obligation,,3288000.0,2891000.0
Long Term Debt,,3288000.0,2891000.0
Current Liabilities,14782000.0,3288000.0,
Other Current Liabilities,523000.0,689000.0,
Current Debt And Capital Lease Obligation,9918000.0,0.0,
Current Debt,9918000.0,0.0,
Payables,2084000.0,1077000.0,
Total Tax Payable,0.0,159000.0,
Accounts Payable,2084000.0,918000.0,
Total Assets,33256000.0,21784000.0,14387000.0
Total Non Current Assets,14866000.0,7246000.0,
Goodwill And Other Intangible Assets,14477000.0,6823000.0,
Other Intangible Assets,14477000.0,6823000.0,
Net PPE,389000.0,423000.0,
Accumulated Depreciation,-715000.0,-508000.0,
Gross PPE,1104000.0,931000.0,
Other Properties,389000.0,,
Machinery Furniture Equipment,1104000.0,931000.0,
Current Assets,18390000.0,14537000.0,
Other Current Assets,,-1000.0,
Other Receivables,3739000.0,412000.0,
Accounts Receivable,0.0,44000.0,
Cash Cash Equivalents And Short Term Investments,14651000.0,14082000.0,
Cash And Cash Equivalents,14651000.0,14082000.0,
Cash Financial,14651000.0,14082000.0,
