,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,383036497.0,383036497.0,383036497.0
Share Issued,383036497.0,383036497.0,383036497.0
Net Debt,4511000000.0,3847000000.0,3896000000.0
Total Debt,5957000000.0,4973000000.0,4741000000.0
Tangible Book Value,-3586000000.0,-3265000000.0,-3130000000.0
Invested Capital,8470000000.0,7261000000.0,6870000000.0
Working Capital,1285000000.0,1132000000.0,1175000000.0
Net Tangible Assets,-3586000000.0,-3265000000.0,-3130000000.0
Capital Lease Obligations,956000000.0,735000000.0,634000000.0
Common Stock Equity,3469000000.0,3023000000.0,2763000000.0
Total Capitalization,8096000000.0,7010000000.0,6755000000.0
Total Equity Gross Minority Interest,3502000000.0,3041000000.0,2791000000.0
Minority Interest,33000000.0,18000000.0,28000000.0
Stockholders Equity,3469000000.0,3023000000.0,2763000000.0
Other Equity Interest,1000000.0,,
Retained Earnings,1652000000.0,1304000000.0,1118000000.0
Additional Paid In Capital,1571000000.0,1571000000.0,1508000000.0
Capital Stock,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,9616000000.0,8285000000.0,7443000000.0
Total Non Current Liabilities Net Minority Interest,6418000000.0,5421000000.0,5210000000.0
Other Non Current Liabilities,571000000.0,428000000.0,341000000.0
Derivative Product Liabilities,0.0,2000000.0,0.0
Non Current Deferred Taxes Liabilities,426000000.0,366000000.0,339000000.0
Long Term Debt And Capital Lease Obligation,5346000000.0,4552000000.0,4477000000.0
Long Term Capital Lease Obligation,719000000.0,565000000.0,485000000.0
Long Term Debt,4627000000.0,3987000000.0,3992000000.0
Long Term Provisions,75000000.0,73000000.0,53000000.0
Current Liabilities,3198000000.0,2864000000.0,2233000000.0
Other Current Liabilities,579000000.0,448000000.0,427000000.0
Current Debt And Capital Lease Obligation,611000000.0,421000000.0,264000000.0
Current Capital Lease Obligation,237000000.0,170000000.0,149000000.0
Current Debt,374000000.0,251000000.0,115000000.0
Payables,1515000000.0,1551000000.0,1138000000.0
Other Payable,1000000.0,1000000.0,
Total Tax Payable,170000000.0,117000000.0,91000000.0
Accounts Payable,1344000000.0,1433000000.0,1047000000.0
Total Assets,13118000000.0,11326000000.0,10234000000.0
Total Non Current Assets,8635000000.0,7331000000.0,6826000000.0
Other Non Current Assets,-1000000.0,-1000000.0,-1000000.0
Non Current Deferred Taxes Assets,56000000.0,24000000.0,17000000.0
Financial Assets,2000000.0,2000000.0,2000000.0
Long Term Equity Investment,2000000.0,2000000.0,0.0
Investmentsin Associatesat Cost,2000000.0,2000000.0,0.0
Goodwill And Other Intangible Assets,7055000000.0,6288000000.0,5893000000.0
Other Intangible Assets,1954000000.0,1588000000.0,1424000000.0
Goodwill,5101000000.0,4700000000.0,4469000000.0
Net PPE,1490000000.0,1004000000.0,904000000.0
Accumulated Depreciation,-1247000000.0,-949000000.0,-758000000.0
Gross PPE,2737000000.0,1953000000.0,1662000000.0
Construction In Progress,6000000.0,57000000.0,34000000.0
Machinery Furniture Equipment,1213000000.0,722000000.0,656000000.0
Buildings And Improvements,1296000000.0,1012000000.0,826000000.0
Land And Improvements,222000000.0,162000000.0,146000000.0
Properties,0.0,0.0,0.0
Current Assets,4483000000.0,3996000000.0,3408000000.0
Other Current Assets,1000000.0,,1000000.0
Hedging Assets Current,18000000.0,7000000.0,32000000.0
Assets Held For Sale Current,0.0,47000000.0,0.0
Prepaid Assets,112000000.0,85000000.0,74000000.0
Inventory,1820000000.0,1439000000.0,1420000000.0
Finished Goods,1820000000.0,1439000000.0,1420000000.0
Other Receivables,243000000.0,251000000.0,256000000.0
Taxes Receivable,74000000.0,32000000.0,20000000.0
Accounts Receivable,1725000000.0,1744000000.0,1394000000.0
Allowance For Doubtful Accounts Receivable,-39000000.0,-31000000.0,-22000000.0
Gross Accounts Receivable,1764000000.0,1774000000.0,1417000000.0
Cash Cash Equivalents And Short Term Investments,490000000.0,391000000.0,211000000.0
Cash And Cash Equivalents,490000000.0,391000000.0,211000000.0
Cash Financial,490000000.0,391000000.0,211000000.0
