,2024-12-31,2023-12-31
Ordinary Shares Number,21126235.0,20742508.0
Share Issued,21126235.0,20742508.0
Net Debt,,3476000.0
Total Debt,0.0,5000000.0
Tangible Book Value,258079000.0,577983000.0
Invested Capital,258079000.0,582983000.0
Working Capital,11358000.0,-5379000.0
Net Tangible Assets,258079000.0,577983000.0
Capital Lease Obligations,0.0,0.0
Common Stock Equity,258079000.0,577983000.0
Total Capitalization,258079000.0,577983000.0
Total Equity Gross Minority Interest,258079000.0,577983000.0
Stockholders Equity,258079000.0,577983000.0
Retained Earnings,-74409000.0,312717000.0
Additional Paid In Capital,331212000.0,263839000.0
Capital Stock,2113000.0,1683000.0
Common Stock,2113000.0,1683000.0
Total Liabilities Net Minority Interest,1709000.0,8847000.0
Total Non Current Liabilities Net Minority Interest,0.0,72000.0
Other Non Current Liabilities,,72000.0
Current Liabilities,1709000.0,8775000.0
Other Current Liabilities,229000.0,78000.0
Current Debt And Capital Lease Obligation,0.0,5000000.0
Current Capital Lease Obligation,0.0,0.0
Current Debt,0.0,5000000.0
Pensionand Other Post Retirement Benefit Plans Current,352000.0,121000.0
Payables,486000.0,1033000.0
Total Tax Payable,95000.0,68000.0
Accounts Payable,391000.0,965000.0
Total Assets,259788000.0,586830000.0
Total Non Current Assets,246720000.0,583434000.0
Other Non Current Assets,-1000.0,
Investmentin Financial Assets,246492000.0,583060000.0
Available For Sale Securities,437000.0,1255000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,246055000.0,581805000.0
Net PPE,229000.0,374000.0
Accumulated Depreciation,-237000.0,-175000.0
Gross PPE,466000.0,549000.0
Other Properties,466000.0,549000.0
Machinery Furniture Equipment,229000.0,
Buildings And Improvements,0.0,0.0
Properties,0.0,0.0
Current Assets,13067000.0,3396000.0
Other Current Assets,,-2000.0
Other Receivables,402000.0,705000.0
Taxes Receivable,866000.0,184000.0
Accounts Receivable,720000.0,985000.0
Cash Cash Equivalents And Short Term Investments,11079000.0,1524000.0
Other Short Term Investments,1800000.0,
Cash And Cash Equivalents,9279000.0,1524000.0
Cash Financial,9279000.0,1524000.0
