,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,14624008.0,14624008.0,14624008.0
Share Issued,14624008.0,14624008.0,14624008.0
Net Debt,209000000.0,166000000.0,1587000000.0
Total Debt,1155000000.0,1393000000.0,2662000000.0
Tangible Book Value,-2836000000.0,-2539000000.0,-3686000000.0
Invested Capital,6131000000.0,5852000000.0,5798000000.0
Working Capital,227000000.0,234000000.0,-1230000000.0
Net Tangible Assets,-2836000000.0,-2539000000.0,-3686000000.0
Capital Lease Obligations,525000000.0,483000000.0,517000000.0
Common Stock Equity,5501000000.0,4942000000.0,3653000000.0
Total Capitalization,5513000000.0,4956000000.0,3666000000.0
Total Equity Gross Minority Interest,5501000000.0,4942000000.0,3653000000.0
Minority Interest,0.0,0.0,0.0
Stockholders Equity,5501000000.0,4942000000.0,3653000000.0
Other Equity Interest,-1000000.0,-1000000.0,-1000000.0
Retained Earnings,721000000.0,406000000.0,226000000.0
Additional Paid In Capital,4443000000.0,4443000000.0,3254000000.0
Capital Stock,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,1000000.0,1000000.0
Total Liabilities Net Minority Interest,5974000000.0,5677000000.0,6527000000.0
Total Non Current Liabilities Net Minority Interest,3876000000.0,3508000000.0,3218000000.0
Other Non Current Liabilities,2632000000.0,2346000000.0,2035000000.0
Non Current Deferred Taxes Liabilities,808000000.0,742000000.0,719000000.0
Long Term Debt And Capital Lease Obligation,429000000.0,417000000.0,460000000.0
Long Term Capital Lease Obligation,417000000.0,403000000.0,447000000.0
Long Term Debt,12000000.0,14000000.0,13000000.0
Long Term Provisions,7000000.0,3000000.0,4000000.0
Current Liabilities,2098000000.0,2169000000.0,3309000000.0
Other Current Liabilities,270000000.0,277000000.0,322000000.0
Current Debt And Capital Lease Obligation,726000000.0,976000000.0,2202000000.0
Current Capital Lease Obligation,108000000.0,80000000.0,70000000.0
Current Debt,618000000.0,896000000.0,2132000000.0
Payables,544000000.0,404000000.0,420000000.0
Other Payable,1000000.0,,1000000.0
Total Tax Payable,130000000.0,83000000.0,67000000.0
Accounts Payable,413000000.0,321000000.0,352000000.0
Total Assets,11475000000.0,10619000000.0,10180000000.0
Total Non Current Assets,9150000000.0,8216000000.0,8101000000.0
Other Non Current Assets,-2000000.0,,-1000000.0
Investmentin Financial Assets,31000000.0,38000000.0,15000000.0
Available For Sale Securities,31000000.0,38000000.0,15000000.0
Goodwill And Other Intangible Assets,8337000000.0,7481000000.0,7339000000.0
Other Intangible Assets,3355000000.0,3103000000.0,3157000000.0
Goodwill,4982000000.0,4378000000.0,4182000000.0
Net PPE,784000000.0,697000000.0,748000000.0
Accumulated Depreciation,-463000000.0,-322000000.0,-212000000.0
Gross PPE,1247000000.0,1019000000.0,960000000.0
Construction In Progress,6000000.0,4000000.0,4000000.0
Other Properties,748000000.0,639000000.0,622000000.0
Machinery Furniture Equipment,382000000.0,313000000.0,272000000.0
Buildings And Improvements,111000000.0,63000000.0,62000000.0
Properties,0.0,0.0,0.0
Current Assets,2325000000.0,2403000000.0,2079000000.0
Other Current Assets,-1000000.0,,-1000000.0
Prepaid Assets,112000000.0,103000000.0,77000000.0
Inventory,985000000.0,839000000.0,808000000.0
Inventories Adjustments Allowances,-60000000.0,-52000000.0,-34000000.0
Finished Goods,785000000.0,692000000.0,623000000.0
Work In Process,36000000.0,22000000.0,31000000.0
Raw Materials,224000000.0,177000000.0,188000000.0
Other Receivables,95000000.0,75000000.0,40000000.0
Accounts Receivable,713000000.0,642000000.0,597000000.0
Allowance For Doubtful Accounts Receivable,-17000000.0,-10000000.0,-6000000.0
Gross Accounts Receivable,730000000.0,652000000.0,603000000.0
Cash Cash Equivalents And Short Term Investments,421000000.0,744000000.0,558000000.0
Cash And Cash Equivalents,421000000.0,744000000.0,558000000.0
Cash Financial,421000000.0,744000000.0,558000000.0
