,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,29162111.0,29162111.0,29162111.0
Share Issued,29162111.0,29162111.0,29162111.0
Net Debt,7753000.0,9538000.0,8588000.0
Total Debt,8266000.0,10195000.0,8869000.0
Tangible Book Value,2696000.0,6637000.0,6862000.0
Invested Capital,38833000.0,42982000.0,39974000.0
Working Capital,2164000.0,7442000.0,7172000.0
Net Tangible Assets,2696000.0,6637000.0,6862000.0
Common Stock Equity,30567000.0,32787000.0,31105000.0
Total Capitalization,30761000.0,34048000.0,31799000.0
Total Equity Gross Minority Interest,30567000.0,32787000.0,31105000.0
Stockholders Equity,30567000.0,32787000.0,31105000.0
Other Equity Interest,-10771000.0,-8551000.0,-10233000.0
Additional Paid In Capital,38098000.0,38098000.0,38098000.0
Capital Stock,3240000.0,3240000.0,3240000.0
Common Stock,3240000.0,3240000.0,3240000.0
Total Liabilities Net Minority Interest,19277000.0,18761000.0,17700000.0
Total Non Current Liabilities Net Minority Interest,194000.0,1261000.0,694000.0
Long Term Debt And Capital Lease Obligation,194000.0,1261000.0,694000.0
Long Term Debt,194000.0,1261000.0,694000.0
Current Liabilities,19083000.0,17500000.0,17006000.0
Other Current Liabilities,2189000.0,1992000.0,2179000.0
Current Debt And Capital Lease Obligation,8072000.0,8934000.0,8175000.0
Current Debt,8072000.0,8934000.0,8175000.0
Payables,4035000.0,3627000.0,4033000.0
Accounts Payable,4035000.0,3627000.0,4033000.0
Total Assets,49844000.0,51548000.0,48805000.0
Total Non Current Assets,28597000.0,26606000.0,24627000.0
Goodwill And Other Intangible Assets,27871000.0,26150000.0,24243000.0
Other Intangible Assets,27871000.0,26150000.0,24243000.0
Net PPE,726000.0,456000.0,384000.0
Accumulated Depreciation,-5350000.0,-5203000.0,-5068000.0
Gross PPE,6076000.0,5659000.0,5452000.0
Other Properties,,,5229000.0
Machinery Furniture Equipment,5853000.0,5436000.0,5229000.0
Buildings And Improvements,223000.0,223000.0,223000.0
Properties,0.0,0.0,0.0
Current Assets,21247000.0,24942000.0,24178000.0
Prepaid Assets,270000.0,387000.0,262000.0
Inventory,15131000.0,18308000.0,16669000.0
Finished Goods,2471000.0,3659000.0,3873000.0
Raw Materials,12660000.0,14649000.0,12796000.0
Other Receivables,1076000.0,580000.0,1018000.0
Taxes Receivable,118000.0,375000.0,245000.0
Accounts Receivable,4139000.0,4635000.0,5703000.0
Cash Cash Equivalents And Short Term Investments,513000.0,657000.0,281000.0
Cash And Cash Equivalents,513000.0,657000.0,281000.0
Cash Financial,513000.0,657000.0,281000.0
