,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,1186522.0,445974.0,388461.0,227547.0
Ordinary Shares Number,46693332.0,27961478.0,14740438.0,6842615.0
Share Issued,47879854.0,28407452.0,15128899.0,7070162.0
Total Debt,4143000.0,4737000.0,6105000.0,3931000.0
Tangible Book Value,381047000.0,78505000.0,125480000.0,107009000.0
Invested Capital,686820000.0,610725000.0,533584000.0,434051000.0
Working Capital,283392000.0,48953000.0,100974000.0,89117000.0
Net Tangible Assets,381047000.0,78505000.0,125480000.0,107009000.0
Capital Lease Obligations,4143000.0,4737000.0,6105000.0,3931000.0
Common Stock Equity,686820000.0,610725000.0,533584000.0,434051000.0
Total Capitalization,686820000.0,610725000.0,533584000.0,434051000.0
Total Equity Gross Minority Interest,686820000.0,610725000.0,533584000.0,434051000.0
Minority Interest,,,,0.0
Stockholders Equity,686820000.0,610725000.0,533584000.0,434051000.0
Retained Earnings,-593644000.0,-338533000.0,-317440000.0,-301730000.0
Additional Paid In Capital,1233771000.0,921297000.0,841197000.0,731376000.0
Capital Stock,46693000.0,27961000.0,9827000.0,4405000.0
Common Stock,46693000.0,27961000.0,9827000.0,4405000.0
Total Liabilities Net Minority Interest,19270000.0,24007000.0,30839000.0,16838000.0
Total Non Current Liabilities Net Minority Interest,2548000.0,3467000.0,4053000.0,1300000.0
Other Non Current Liabilities,,,65000.0,65000.0
Long Term Debt And Capital Lease Obligation,2548000.0,3467000.0,3988000.0,1235000.0
Long Term Capital Lease Obligation,2548000.0,3467000.0,3988000.0,1235000.0
Long Term Debt,,,,65000.0
Current Liabilities,16722000.0,20540000.0,26786000.0,15538000.0
Other Current Liabilities,294000.0,,,87000.0
Current Debt And Capital Lease Obligation,1595000.0,1270000.0,2117000.0,2696000.0
Current Capital Lease Obligation,1595000.0,1270000.0,2117000.0,2696000.0
Pensionand Other Post Retirement Benefit Plans Current,7079000.0,7864000.0,4253000.0,3598000.0
Payables,4467000.0,7067000.0,17293000.0,5552000.0
Total Tax Payable,303000.0,299000.0,185000.0,245000.0
Accounts Payable,4164000.0,6768000.0,17108000.0,5307000.0
Total Assets,706090000.0,634732000.0,564423000.0,450889000.0
Total Non Current Assets,405976000.0,565239000.0,436663000.0,346234000.0
Non Current Deferred Taxes Assets,95783000.0,28077000.0,22575000.0,14673000.0
Goodwill And Other Intangible Assets,305773000.0,532220000.0,408104000.0,327042000.0
Other Intangible Assets,305773000.0,532220000.0,408104000.0,327042000.0
Net PPE,4420000.0,4942000.0,5984000.0,4519000.0
Accumulated Depreciation,-15744000.0,-14426000.0,-2224000.0,-2224000.0
Gross PPE,20164000.0,19368000.0,8208000.0,6743000.0
Other Properties,2224000.0,2224000.0,2224000.0,6743000.0
Buildings And Improvements,17940000.0,17144000.0,5984000.0,4519000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,300114000.0,69493000.0,127760000.0,104655000.0
Assets Held For Sale Current,,,,0.0
Restricted Cash,700000.0,700000.0,700000.0,700000.0
Prepaid Assets,1726000.0,1037000.0,772000.0,862000.0
Inventory,4295000.0,7115000.0,0.0,
Finished Goods,2282000.0,2546000.0,0.0,
Raw Materials,2013000.0,4569000.0,0.0,
Other Receivables,638000.0,786000.0,1055000.0,664000.0
Accounts Receivable,166000.0,0.0,383000.0,474000.0
Allowance For Doubtful Accounts Receivable,0.0,0.0,0.0,0.0
Gross Accounts Receivable,166000.0,0.0,383000.0,474000.0
Cash Cash Equivalents And Short Term Investments,292589000.0,59855000.0,124850000.0,101955000.0
Cash And Cash Equivalents,292589000.0,59855000.0,124850000.0,101955000.0
Cash Financial,292589000.0,59855000.0,124850000.0,101955000.0
