,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,88280377.0,88280377.0,67761696.0,67318205.0
Share Issued,88280377.0,88280377.0,67761696.0,67318205.0
Total Debt,145000.0,181000.0,322000.0,433000.0
Tangible Book Value,26065000.0,84179000.0,74248000.0,117143000.0
Invested Capital,162474000.0,238112000.0,250481000.0,308685000.0
Working Capital,25506000.0,83320000.0,61710000.0,105114000.0
Net Tangible Assets,26065000.0,84179000.0,74248000.0,117143000.0
Common Stock Equity,162329000.0,237931000.0,250159000.0,308252000.0
Total Capitalization,162435000.0,238073000.0,250342000.0,308474000.0
Total Equity Gross Minority Interest,162329000.0,237931000.0,250159000.0,308252000.0
Stockholders Equity,162329000.0,237931000.0,250159000.0,308252000.0
Other Equity Interest,-186098000.0,-246822000.0,-143870000.0,-79757000.0
Additional Paid In Capital,333280000.0,333280000.0,293047000.0,287688000.0
Capital Stock,15147000.0,151473000.0,100982000.0,100321000.0
Common Stock,15147000.0,151473000.0,100982000.0,100321000.0
Total Liabilities Net Minority Interest,24988000.0,21680000.0,14876000.0,21141000.0
Total Non Current Liabilities Net Minority Interest,106000.0,142000.0,183000.0,222000.0
Long Term Debt And Capital Lease Obligation,106000.0,142000.0,183000.0,222000.0
Long Term Debt,106000.0,142000.0,183000.0,222000.0
Current Liabilities,24882000.0,21538000.0,14693000.0,20919000.0
Other Current Liabilities,4151000.0,1630000.0,1171000.0,1474000.0
Current Debt And Capital Lease Obligation,39000.0,39000.0,139000.0,211000.0
Current Debt,39000.0,39000.0,139000.0,211000.0
Pensionand Other Post Retirement Benefit Plans Current,4153000.0,3893000.0,3354000.0,2978000.0
Payables,11399000.0,8382000.0,5614000.0,9655000.0
Accounts Payable,11399000.0,8382000.0,5614000.0,9655000.0
Total Assets,187317000.0,259611000.0,265035000.0,329393000.0
Total Non Current Assets,136929000.0,154753000.0,188632000.0,203360000.0
Non Current Deferred Taxes Assets,0.0,0.0,11387000.0,11390000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Investmentsin Subsidiariesat Cost,0.0,0.0,0.0,0.0
Goodwill And Other Intangible Assets,136264000.0,153752000.0,175911000.0,191109000.0
Other Intangible Assets,136264000.0,153752000.0,170018000.0,179323000.0
Goodwill,0.0,0.0,5893000.0,11786000.0
Net PPE,665000.0,1001000.0,1334000.0,861000.0
Accumulated Depreciation,-1096000.0,-760000.0,-730000.0,-363000.0
Gross PPE,1761000.0,1761000.0,2064000.0,1224000.0
Other Properties,,1761000.0,2064000.0,
Machinery Furniture Equipment,1761000.0,1761000.0,2064000.0,
Current Assets,50388000.0,104858000.0,76403000.0,126033000.0
Prepaid Assets,2268000.0,2186000.0,3803000.0,5046000.0
Inventory,11350000.0,10483000.0,24404000.0,1567000.0
Finished Goods,5607000.0,1532000.0,2478000.0,1477000.0
Raw Materials,5743000.0,8951000.0,21926000.0,90000.0
Other Receivables,851000.0,2473000.0,845000.0,2578000.0
Taxes Receivable,399000.0,731000.0,360000.0,677000.0
Accounts Receivable,1116000.0,644000.0,1292000.0,453000.0
Cash Cash Equivalents And Short Term Investments,34404000.0,88341000.0,45699000.0,115712000.0
Cash And Cash Equivalents,34404000.0,88341000.0,45699000.0,115712000.0
Cash Financial,34404000.0,88341000.0,45699000.0,115712000.0
