,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,50000000.0,50000000.0,50000000.0
Share Issued,50000000.0,50000000.0,50000000.0
Net Debt,7324800000.0,6538000000.0,7657200000.0
Total Debt,7988900000.0,7611700000.0,8180700000.0
Tangible Book Value,2384500000.0,2136500000.0,1548200000.0
Invested Capital,13480100000.0,12898800000.0,12770300000.0
Net Tangible Assets,2384500000.0,2136500000.0,1548200000.0
Common Stock Equity,5546600000.0,5315800000.0,4611400000.0
Total Capitalization,13480100000.0,12898800000.0,12770300000.0
Total Equity Gross Minority Interest,5546600000.0,5376200000.0,4611400000.0
Minority Interest,0.0,60400000.0,0.0
Stockholders Equity,5546600000.0,5315800000.0,4611400000.0
Other Equity Interest,,,200000.0
Retained Earnings,4310400000.0,4054800000.0,3914300000.0
Additional Paid In Capital,1264700000.0,1264700000.0,677600000.0
Capital Stock,400000.0,400000.0,100000.0
Common Stock,400000.0,400000.0,100000.0
Total Liabilities Net Minority Interest,31624200000.0,28850000000.0,22101500000.0
Derivative Product Liabilities,77000000.0,83600000.0,44600000.0
Long Term Debt And Capital Lease Obligation,7988900000.0,7611700000.0,8180700000.0
Payables,87600000.0,125700000.0,113600000.0
Total Tax Payable,65600000.0,59800000.0,56900000.0
Accounts Payable,22000000.0,65900000.0,56700000.0
Total Assets,37170800000.0,34226200000.0,26712900000.0
Investments And Advances,1592100000.0,2016200000.0,877600000.0
Investmentin Financial Assets,1447500000.0,1868000000.0,863400000.0
Available For Sale Securities,,,18200000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,681100000.0,760800000.0,419600000.0
Long Term Equity Investment,144600000.0,148200000.0,14200000.0
Investmentsin Associatesat Cost,144600000.0,148200000.0,14200000.0
Goodwill And Other Intangible Assets,3162100000.0,3179300000.0,3063200000.0
Other Intangible Assets,493400000.0,508800000.0,470100000.0
Goodwill,2668700000.0,2670500000.0,2593100000.0
Net PPE,69000000.0,46400000.0,42300000.0
Accumulated Depreciation,-131300000.0,-88200000.0,-74200000.0
Gross PPE,200300000.0,134600000.0,116500000.0
Other Properties,200300000.0,134600000.0,116500000.0
Prepaid Assets,21300000.0,18000000.0,17400000.0
Receivables,96500000.0,78300000.0,66600000.0
Taxes Receivable,92200000.0,89000000.0,94500000.0
Cash And Cash Equivalents,608700000.0,1045000000.0,501700000.0
Cash Financial,0.0,0.0,0.0
Cash Cash Equivalents And Federal Funds Sold,608700000.0,1045000000.0,501700000.0
