,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,257306226.0,206306226.0,206306226.0,206306226.0
Share Issued,257306226.0,206306226.0,206306226.0,206306226.0
Net Debt,11978000000.0,12571000000.0,10358000000.0,9616000000.0
Total Debt,12303000000.0,12920000000.0,10698000000.0,9957000000.0
Tangible Book Value,9964000000.0,7697000000.0,8686000000.0,7207000000.0
Invested Capital,22257000000.0,20602000000.0,19259000000.0,17021000000.0
Working Capital,-4214000000.0,-4667000000.0,-2835000000.0,-4417000000.0
Net Tangible Assets,9964000000.0,7697000000.0,8686000000.0,7207000000.0
Capital Lease Obligations,84000000.0,124000000.0,125000000.0,143000000.0
Common Stock Equity,10038000000.0,7806000000.0,8686000000.0,7207000000.0
Total Capitalization,18217000000.0,15688000000.0,16544000000.0,12631000000.0
Total Equity Gross Minority Interest,10334000000.0,8097000000.0,8990000000.0,7207000000.0
Minority Interest,296000000.0,291000000.0,304000000.0,0.0
Stockholders Equity,10038000000.0,7806000000.0,8686000000.0,7207000000.0
Other Equity Interest,-1000000.0,,-1000000.0,
Retained Earnings,3174000000.0,2901000000.0,3782000000.0,3052000000.0
Additional Paid In Capital,6836000000.0,4882000000.0,4882000000.0,4134000000.0
Capital Stock,29000000.0,23000000.0,23000000.0,21000000.0
Common Stock,29000000.0,23000000.0,23000000.0,21000000.0
Total Liabilities Net Minority Interest,14344000000.0,14807000000.0,12560000000.0,11332000000.0
Total Non Current Liabilities Net Minority Interest,9638000000.0,9233000000.0,9321000000.0,6546000000.0
Other Non Current Liabilities,-1000000.0,1000000.0,,
Non Current Deferred Taxes Liabilities,1378000000.0,1229000000.0,1335000000.0,971000000.0
Long Term Debt And Capital Lease Obligation,8258000000.0,8000000000.0,7983000000.0,5567000000.0
Long Term Capital Lease Obligation,79000000.0,118000000.0,125000000.0,143000000.0
Long Term Debt,8179000000.0,7882000000.0,7858000000.0,5424000000.0
Long Term Provisions,3000000.0,3000000.0,3000000.0,8000000.0
Current Liabilities,4706000000.0,5574000000.0,3239000000.0,4786000000.0
Other Current Liabilities,157000000.0,173000000.0,524000000.0,396000000.0
Current Debt And Capital Lease Obligation,4045000000.0,4920000000.0,2715000000.0,4390000000.0
Current Capital Lease Obligation,5000000.0,6000000.0,,
Current Debt,4040000000.0,4914000000.0,2715000000.0,4390000000.0
Payables,149000000.0,224000000.0,,
Other Payable,49000000.0,68000000.0,,
Total Tax Payable,0.0,50000000.0,,
Accounts Payable,100000000.0,106000000.0,,
Total Assets,24678000000.0,22904000000.0,21550000000.0,18539000000.0
Total Non Current Assets,24186000000.0,21997000000.0,21146000000.0,18170000000.0
Other Non Current Assets,1000000.0,1000000.0,25000000.0,6000000.0
Financial Assets,372000000.0,334000000.0,689000000.0,50000000.0
Long Term Equity Investment,0.0,0.0,3000000.0,2000000.0
Investmentsin Associatesat Cost,0.0,0.0,3000000.0,2000000.0
Investment Properties,23600000000.0,21406000000.0,20158000000.0,17797000000.0
Goodwill And Other Intangible Assets,74000000.0,109000000.0,,
Other Intangible Assets,74000000.0,109000000.0,,
Net PPE,139000000.0,147000000.0,137000000.0,158000000.0
Accumulated Depreciation,-11000000.0,-9000000.0,,
Gross PPE,150000000.0,156000000.0,137000000.0,158000000.0
Other Properties,142000000.0,146000000.0,28000000.0,35000000.0
Machinery Furniture Equipment,2000000.0,2000000.0,,
Buildings And Improvements,6000000.0,8000000.0,109000000.0,123000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,492000000.0,907000000.0,404000000.0,369000000.0
Other Current Assets,1000000.0,1000000.0,-1000000.0,
Assets Held For Sale Current,0.0,444000000.0,0.0,0.0
Prepaid Assets,41000000.0,32000000.0,,
Other Receivables,62000000.0,51000000.0,,
Taxes Receivable,60000000.0,130000000.0,190000000.0,171000000.0
Accounts Receivable,87000000.0,24000000.0,,
Cash Cash Equivalents And Short Term Investments,241000000.0,225000000.0,215000000.0,198000000.0
Cash And Cash Equivalents,241000000.0,225000000.0,215000000.0,198000000.0
