,2023-12-31,2022-12-31
Ordinary Shares Number,95517388.0,95517388.0
Share Issued,95517388.0,95517388.0
Net Debt,29629834.895383,33362005.060811
Total Debt,80659813.867694,87009011.794956
Tangible Book Value,1390478734.189412,1482569868.337279
Invested Capital,1511642383.978998,1600850437.964248
Net Tangible Assets,1390478734.189412,1482569868.337279
Common Stock Equity,1430982570.111303,1513841426.169292
Total Capitalization,1511642383.978998,1600850437.964248
Total Equity Gross Minority Interest,1430982570.111303,1513841426.169292
Stockholders Equity,1430982570.111303,1513841426.169292
Other Equity Interest,592707737.3181,609113108.54216
Additional Paid In Capital,651140998.753245,702835180.760754
Capital Stock,187133834.039959,201893136.866378
Common Stock,187133834.039959,201893136.866378
Total Liabilities Net Minority Interest,6286395992.136003,6327979607.950371
Long Term Debt And Capital Lease Obligation,80659813.867694,87009011.794956
Total Assets,7717378562.247306,7841821034.119664
Investments And Advances,825112240.731928,1023045076.259081
Investmentin Financial Assets,825112240.731928,1023045076.259081
Goodwill And Other Intangible Assets,40503835.921891,31271557.832014
Net PPE,5043940.653268,9339956.432128
Cash And Cash Equivalents,51029978.972312,53647006.734144
Cash Cash Equivalents And Federal Funds Sold,51029978.972312,53647006.734144
