,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,,0.0,,
Ordinary Shares Number,259559202.0,259559202.0,259559202.0,258500556.0
Share Issued,259559202.0,259559202.0,259559202.0,258500556.0
Net Debt,1109000000.0,2181000000.0,5008000000.0,2943000000.0
Total Debt,3571000000.0,4485000000.0,7247000000.0,4565000000.0
Tangible Book Value,17434000000.0,14115000000.0,12205000000.0,9206000000.0
Invested Capital,23107000000.0,20801000000.0,21559000000.0,15727000000.0
Working Capital,10938000000.0,9177000000.0,9169000000.0,5881000000.0
Net Tangible Assets,17434000000.0,14115000000.0,12205000000.0,9206000000.0
Capital Lease Obligations,551000000.0,801000000.0,724000000.0,621000000.0
Common Stock Equity,20087000000.0,17117000000.0,15036000000.0,11783000000.0
Total Capitalization,21036000000.0,19086000000.0,18562000000.0,13394000000.0
Total Equity Gross Minority Interest,20149000000.0,17173000000.0,15083000000.0,11831000000.0
Minority Interest,62000000.0,56000000.0,47000000.0,48000000.0
Stockholders Equity,20087000000.0,17117000000.0,15036000000.0,11783000000.0
Retained Earnings,18652000000.0,16139000000.0,13902000000.0,12121000000.0
Capital Stock,433000000.0,433000000.0,433000000.0,431000000.0
Common Stock,433000000.0,433000000.0,433000000.0,431000000.0
Total Liabilities Net Minority Interest,14237000000.0,13378000000.0,18907000000.0,15335000000.0
Total Non Current Liabilities Net Minority Interest,2533000000.0,3741000000.0,4972000000.0,3180000000.0
Other Non Current Liabilities,204000000.0,217000000.0,96000000.0,263000000.0
Non Current Pension And Other Postretirement Benefit Plans,82000000.0,31000000.0,58000000.0,271000000.0
Non Current Deferred Taxes Liabilities,621000000.0,656000000.0,553000000.0,444000000.0
Long Term Debt And Capital Lease Obligation,1360000000.0,2599000000.0,4088000000.0,2104000000.0
Long Term Capital Lease Obligation,411000000.0,630000000.0,562000000.0,493000000.0
Long Term Debt,949000000.0,1969000000.0,3526000000.0,1611000000.0
Long Term Provisions,266000000.0,238000000.0,177000000.0,98000000.0
Current Liabilities,11704000000.0,9637000000.0,13935000000.0,12155000000.0
Other Current Liabilities,292000000.0,276000000.0,284000000.0,191000000.0
Current Debt And Capital Lease Obligation,2211000000.0,1886000000.0,3159000000.0,2461000000.0
Current Capital Lease Obligation,140000000.0,171000000.0,162000000.0,128000000.0
Current Debt,2071000000.0,1715000000.0,2997000000.0,2333000000.0
Pensionand Other Post Retirement Benefit Plans Current,686000000.0,616000000.0,615000000.0,473000000.0
Current Provisions,356000000.0,297000000.0,139000000.0,174000000.0
Payables,5004000000.0,4324000000.0,5981000000.0,5992000000.0
Total Tax Payable,883000000.0,520000000.0,644000000.0,296000000.0
Accounts Payable,4121000000.0,3804000000.0,5337000000.0,5696000000.0
Total Assets,34386000000.0,30551000000.0,33990000000.0,27166000000.0
Total Non Current Assets,11744000000.0,11737000000.0,10886000000.0,9130000000.0
Non Current Deferred Taxes Assets,400000000.0,390000000.0,327000000.0,179000000.0
Investmentin Financial Assets,90000000.0,79000000.0,67000000.0,43000000.0
Long Term Equity Investment,7000000.0,13000000.0,32000000.0,16000000.0
Investmentsin Associatesat Cost,7000000.0,13000000.0,32000000.0,16000000.0
Goodwill And Other Intangible Assets,2653000000.0,3002000000.0,2831000000.0,2577000000.0
Other Intangible Assets,320000000.0,290000000.0,293000000.0,307000000.0
Goodwill,2333000000.0,2712000000.0,2538000000.0,2270000000.0
Net PPE,8594000000.0,8253000000.0,7629000000.0,6315000000.0
Accumulated Depreciation,-12035000000.0,-11329000000.0,-11011000000.0,-9876000000.0
Gross PPE,20629000000.0,19582000000.0,18640000000.0,16191000000.0
Construction In Progress,1692000000.0,1594000000.0,1206000000.0,460000000.0
Other Properties,5000000.0,7000000.0,6000000.0,5000000.0
Machinery Furniture Equipment,15344000000.0,14423000000.0,13995000000.0,12707000000.0
Buildings And Improvements,425000000.0,599000000.0,543000000.0,459000000.0
Land And Improvements,3163000000.0,2959000000.0,2890000000.0,2560000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,22642000000.0,18814000000.0,23104000000.0,18036000000.0
Hedging Assets Current,1333000000.0,1403000000.0,2383000000.0,1918000000.0
Inventory,11872000000.0,8656000000.0,11174000000.0,9054000000.0
Finished Goods,3193000000.0,2398000000.0,3506000000.0,2337000000.0
Work In Process,2035000000.0,1879000000.0,1754000000.0,1855000000.0
Raw Materials,6644000000.0,4379000000.0,5914000000.0,4862000000.0
Other Receivables,1023000000.0,1338000000.0,787000000.0,656000000.0
Taxes Receivable,710000000.0,602000000.0,610000000.0,275000000.0
Accounts Receivable,5793000000.0,5312000000.0,6635000000.0,5132000000.0
Cash Cash Equivalents And Short Term Investments,1911000000.0,1503000000.0,1515000000.0,1001000000.0
Cash And Cash Equivalents,1911000000.0,1503000000.0,1515000000.0,1001000000.0
Cash Equivalents,1911000000.0,1503000000.0,1515000000.0,1001000000.0
