,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,164521538.0,164521538.0,164521538.0,164521538.0
Share Issued,164521538.0,164521538.0,164521538.0,164521538.0
Net Debt,2445000000.0,2857000000.0,2421500000.0,665400000.0
Total Debt,3234000000.0,2909000000.0,2589300000.0,692300000.0
Tangible Book Value,4397000000.0,2864000000.0,2663400000.0,776700000.0
Invested Capital,7800000000.0,5944000000.0,5443900000.0,1469000000.0
Working Capital,-220000000.0,-303000000.0,-91500000.0,-134200000.0
Net Tangible Assets,4397000000.0,2864000000.0,2663400000.0,776700000.0
Capital Lease Obligations,9000000.0,11000000.0,0.0,0.0
Common Stock Equity,4575000000.0,3046000000.0,2854600000.0,776700000.0
Total Capitalization,6839000000.0,5513000000.0,5432600000.0,1451300000.0
Total Equity Gross Minority Interest,4575000000.0,3052000000.0,2864500000.0,776700000.0
Minority Interest,0.0,6000000.0,9900000.0,0.0
Stockholders Equity,4575000000.0,3046000000.0,2854600000.0,776700000.0
Other Equity Interest,-1000000.0,-100000.0,,
Retained Earnings,36000000.0,8000000.0,140800000.0,248300000.0
Additional Paid In Capital,4511000000.0,3023000000.0,2696500000.0,528500000.0
Capital Stock,1000000.0,0.0,0.0,0.0
Common Stock,1000000.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3809000000.0,3425000000.0,3256700000.0,925200000.0
Total Non Current Liabilities Net Minority Interest,2673000000.0,2825000000.0,2912900000.0,738200000.0
Other Non Current Liabilities,-1000000.0,-2000000.0,100000.0,900000.0
Derivative Product Liabilities,17000000.0,0.0,,
Non Current Deferred Taxes Liabilities,388000000.0,352000000.0,334800000.0,62700000.0
Long Term Debt And Capital Lease Obligation,2269000000.0,2475000000.0,2578000000.0,674600000.0
Long Term Capital Lease Obligation,5000000.0,8000000.0,0.0,0.0
Long Term Debt,2264000000.0,2467000000.0,2578000000.0,674600000.0
Current Liabilities,1136000000.0,600000000.0,343800000.0,187000000.0
Other Current Liabilities,1000000.0,6000000.0,-100000.0,13000000.0
Current Debt And Capital Lease Obligation,965000000.0,434000000.0,11300000.0,17700000.0
Current Capital Lease Obligation,4000000.0,3000000.0,0.0,0.0
Current Debt,961000000.0,431000000.0,11300000.0,17700000.0
Current Provisions,,,50000000.0,
Payables,75000000.0,92000000.0,211000000.0,145400000.0
Other Payable,31000000.0,35000000.0,161700000.0,119600000.0
Total Tax Payable,15000000.0,26000000.0,31200000.0,0.0
Accounts Payable,29000000.0,31000000.0,18100000.0,25800000.0
Total Assets,8384000000.0,6477000000.0,6121200000.0,1701900000.0
Total Non Current Assets,7469000000.0,6180000000.0,5868800000.0,1648900000.0
Other Non Current Assets,,-1000000.0,,
Non Current Deferred Taxes Assets,2000000.0,2000000.0,0.0,0.0
Financial Assets,3000000.0,18000000.0,67900000.0,1800000.0
Investment Properties,7273000000.0,5964000000.0,5609700000.0,1647100000.0
Goodwill And Other Intangible Assets,178000000.0,182000000.0,191200000.0,0.0
Other Intangible Assets,4000000.0,1000000.0,,
Goodwill,174000000.0,181000000.0,191200000.0,0.0
Net PPE,11000000.0,14000000.0,0.0,0.0
Accumulated Depreciation,0.0,0.0,0.0,0.0
Gross PPE,11000000.0,14000000.0,0.0,0.0
Construction In Progress,0.0,1000000.0,0.0,0.0
Other Properties,9000000.0,12000000.0,,
Machinery Furniture Equipment,2000000.0,1000000.0,0.0,0.0
Current Assets,916000000.0,297000000.0,252300000.0,52800000.0
Other Current Assets,,-1000000.0,-100000.0,
Restricted Cash,0.0,154000000.0,0.0,0.0
Prepaid Assets,27000000.0,33000000.0,24100000.0,10300000.0
Other Receivables,80000000.0,39000000.0,40800000.0,6900000.0
Taxes Receivable,13000000.0,26000000.0,16900000.0,7900000.0
Accounts Receivable,16000000.0,5000000.0,2800000.0,800000.0
Cash Cash Equivalents And Short Term Investments,780000000.0,41000000.0,167800000.0,26900000.0
Cash And Cash Equivalents,780000000.0,41000000.0,167800000.0,26900000.0
