,2024-12-31,2023-12-31,2022-12-31
Ordinary Shares Number,20000000.0,20000000.0,20000000.0
Share Issued,20000000.0,20000000.0,20000000.0
Net Debt,36937000.0,,
Total Debt,377199000.0,240924000.0,176627000.0
Tangible Book Value,167041000.0,111244000.0,79642000.0
Invested Capital,298435000.0,174066000.0,139255000.0
Working Capital,-49699000.0,-11948000.0,-20450000.0
Net Tangible Assets,167041000.0,111244000.0,79642000.0
Capital Lease Obligations,294970000.0,218192000.0,167300000.0
Common Stock Equity,216206000.0,151334000.0,129928000.0
Total Capitalization,236891000.0,151334000.0,129928000.0
Total Equity Gross Minority Interest,216206000.0,151334000.0,129928000.0
Stockholders Equity,216206000.0,151334000.0,129928000.0
Other Equity Interest,1000.0,,
Retained Earnings,138578000.0,76525000.0,54955000.0
Additional Paid In Capital,67400000.0,67400000.0,67400000.0
Capital Stock,50000.0,50000.0,50000.0
Common Stock,50000.0,50000.0,50000.0
Total Liabilities Net Minority Interest,873788000.0,764178000.0,597026000.0
Total Non Current Liabilities Net Minority Interest,221863000.0,164998000.0,148111000.0
Other Non Current Liabilities,-1000.0,-1000.0,
Non Current Deferred Taxes Liabilities,6383000.0,14116000.0,17114000.0
Long Term Debt And Capital Lease Obligation,209987000.0,145857000.0,114866000.0
Long Term Capital Lease Obligation,189302000.0,145857000.0,114866000.0
Long Term Debt,20685000.0,0.0,0.0
Long Term Provisions,5494000.0,5026000.0,16131000.0
Current Liabilities,651925000.0,599180000.0,448915000.0
Other Current Liabilities,217594000.0,176128000.0,186766000.0
Current Debt And Capital Lease Obligation,167212000.0,95067000.0,61761000.0
Current Capital Lease Obligation,105668000.0,72335000.0,52434000.0
Current Debt,61544000.0,22732000.0,9327000.0
Pensionand Other Post Retirement Benefit Plans Current,0.0,0.0,11000000.0
Current Provisions,754000.0,,
Payables,254281000.0,316985000.0,189388000.0
Total Tax Payable,21953000.0,1550000.0,1463000.0
Accounts Payable,232328000.0,315435000.0,187925000.0
Total Assets,1089994000.0,915512000.0,726954000.0
Total Non Current Assets,487768000.0,328280000.0,298489000.0
Other Non Current Assets,2000.0,,1000.0
Non Current Deferred Taxes Assets,20620000.0,0.0,0.0
Investmentin Financial Assets,12278000.0,5488000.0,4655000.0
Available For Sale Securities,12278000.0,5488000.0,4655000.0
Goodwill And Other Intangible Assets,49165000.0,40090000.0,50286000.0
Other Intangible Assets,30539000.0,40090000.0,50286000.0
Goodwill,18626000.0,0.0,0.0
Net PPE,405703000.0,282702000.0,243547000.0
Accumulated Depreciation,-73193000.0,-52687000.0,-32928000.0
Gross PPE,478896000.0,335389000.0,276475000.0
Construction In Progress,145000.0,195000.0,2475000.0
Machinery Furniture Equipment,425259000.0,283938000.0,220890000.0
Buildings And Improvements,53492000.0,51256000.0,53110000.0
Properties,0.0,0.0,0.0
Current Assets,602226000.0,587232000.0,428465000.0
Other Current Assets,,1000.0,1000.0
Prepaid Assets,16972000.0,5811000.0,10282000.0
Inventory,21380000.0,26210000.0,25591000.0
Raw Materials,21380000.0,26210000.0,25591000.0
Other Receivables,139814000.0,125084000.0,90141000.0
Taxes Receivable,9375000.0,2601000.0,2372000.0
Accounts Receivable,369393000.0,398191000.0,256641000.0
Allowance For Doubtful Accounts Receivable,0.0,36000.0,-323000.0
Gross Accounts Receivable,369393000.0,398155000.0,256964000.0
Cash Cash Equivalents And Short Term Investments,45292000.0,29334000.0,43437000.0
Cash And Cash Equivalents,45292000.0,29334000.0,43437000.0
Cash Equivalents,45292000.0,29334000.0,43437000.0
