,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,,0.0,,
Ordinary Shares Number,431899108.0,431899108.0,431899108.0,431899108.0
Share Issued,431899108.0,431899108.0,431899108.0,431899108.0
Net Debt,6946000000.0,7331000000.0,7387000000.0,6527000000.0
Total Debt,7789000000.0,8200000000.0,8182000000.0,7224000000.0
Tangible Book Value,159178000000.0,149880000000.0,126180000000.0,143079000000.0
Invested Capital,166967000000.0,158080000000.0,134362000000.0,150303000000.0
Net Tangible Assets,159178000000.0,149880000000.0,126180000000.0,143079000000.0
Common Stock Equity,159178000000.0,149880000000.0,126180000000.0,143079000000.0
Total Capitalization,166967000000.0,158080000000.0,134362000000.0,150303000000.0
Total Equity Gross Minority Interest,159178000000.0,149880000000.0,126180000000.0,143079000000.0
Stockholders Equity,159178000000.0,149880000000.0,126180000000.0,143079000000.0
Retained Earnings,157027000000.0,147729000000.0,124029000000.0,140928000000.0
Additional Paid In Capital,1063000000.0,1063000000.0,1063000000.0,1063000000.0
Capital Stock,1088000000.0,1088000000.0,1088000000.0,1088000000.0
Common Stock,1088000000.0,1088000000.0,1088000000.0,1088000000.0
Total Liabilities Net Minority Interest,8266000000.0,8646000000.0,8576000000.0,7673000000.0
Derivative Product Liabilities,50000000.0,21000000.0,49000000.0,103000000.0
Long Term Debt And Capital Lease Obligation,7789000000.0,8200000000.0,8182000000.0,7224000000.0
Payables,3000000.0,5000000.0,4000000.0,4000000.0
Accounts Payable,3000000.0,5000000.0,4000000.0,4000000.0
Total Assets,167444000000.0,158526000000.0,134756000000.0,150752000000.0
Investments And Advances,166504000000.0,157547000000.0,133832000000.0,149955000000.0
Investmentin Financial Assets,166504000000.0,157547000000.0,133832000000.0,149955000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,166504000000.0,157547000000.0,133832000000.0,149955000000.0
Long Term Equity Investment,0.0,0.0,0.0,0.0
Net PPE,19000000.0,25000000.0,14000000.0,18000000.0
Accumulated Depreciation,-9000000.0,-4000000.0,-15000000.0,-10000000.0
Gross PPE,28000000.0,29000000.0,29000000.0,28000000.0
Prepaid Assets,19000000.0,23000000.0,18000000.0,27000000.0
Receivables,59000000.0,62000000.0,97000000.0,55000000.0
Cash And Cash Equivalents,843000000.0,869000000.0,795000000.0,697000000.0
Cash Cash Equivalents And Federal Funds Sold,843000000.0,869000000.0,795000000.0,697000000.0
