,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,6027300.0,2438867.0,2438867.0,2438867.0
Share Issued,6027300.0,2438867.0,2438867.0,2438867.0
Net Debt,,,359000.0,
Total Debt,,0.0,929000.0,
Tangible Book Value,1546000.0,4497000.0,-627000.0,5270000.0
Invested Capital,11245000.0,11919000.0,5736000.0,9404000.0
Working Capital,2989000.0,3985000.0,-1435000.0,4193000.0
Net Tangible Assets,1546000.0,4497000.0,-627000.0,5270000.0
Common Stock Equity,11245000.0,11919000.0,4807000.0,9404000.0
Total Capitalization,11245000.0,11919000.0,4807000.0,9404000.0
Total Equity Gross Minority Interest,11245000.0,11919000.0,4807000.0,9404000.0
Stockholders Equity,11245000.0,11919000.0,4807000.0,9404000.0
Other Equity Interest,,,4806000.0,9404000.0
Retained Earnings,-33658000.0,-22981000.0,-15293000.0,
Additional Paid In Capital,33757000.0,28164000.0,16117000.0,
Capital Stock,2411000.0,804000.0,564000.0,141000.0
Common Stock,2411000.0,804000.0,564000.0,141000.0
Total Liabilities Net Minority Interest,5555000.0,1939000.0,3530000.0,2409000.0
Total Non Current Liabilities Net Minority Interest,1785000.0,-1000.0,-1000.0,428000.0
Other Non Current Liabilities,,,,428000.0
Current Liabilities,3770000.0,1940000.0,3531000.0,1981000.0
Other Current Liabilities,,101000.0,1721000.0,1981000.0
Current Debt And Capital Lease Obligation,,0.0,929000.0,
Current Debt,,0.0,929000.0,
Payables,,1150000.0,462000.0,
Total Tax Payable,,87000.0,68000.0,
Accounts Payable,,1063000.0,394000.0,
Total Assets,16800000.0,13858000.0,8337000.0,11813000.0
Total Non Current Assets,10041000.0,7933000.0,6241000.0,5639000.0
Other Non Current Assets,,,1000.0,1178000.0
Goodwill And Other Intangible Assets,9699000.0,7422000.0,5434000.0,4134000.0
Other Intangible Assets,9699000.0,7422000.0,5434000.0,4134000.0
Net PPE,342000.0,511000.0,806000.0,327000.0
Accumulated Depreciation,,-1202000.0,-907000.0,-595000.0
Gross PPE,342000.0,1713000.0,1713000.0,922000.0
Other Properties,162000.0,,,
Machinery Furniture Equipment,180000.0,1713000.0,1713000.0,922000.0
Current Assets,6759000.0,5925000.0,2096000.0,6174000.0
Inventory,290000.0,540000.0,167000.0,522000.0
Raw Materials,,540000.0,167000.0,
Other Receivables,,1117000.0,328000.0,
Accounts Receivable,1194000.0,23000.0,1031000.0,184000.0
Cash Cash Equivalents And Short Term Investments,5275000.0,4245000.0,570000.0,5468000.0
Cash And Cash Equivalents,5275000.0,4245000.0,570000.0,5468000.0
Cash Financial,5275000.0,4245000.0,570000.0,5468000.0
