,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,34388116.0,20632869.0,7700160.0
Share Issued,34388116.0,20632869.0,7700160.0
Net Debt,298000.0,258000.0,
Total Debt,667000.0,867000.0,
Tangible Book Value,-14433000.0,-15396000.0,-117057.0
Invested Capital,10849000.0,30444000.0,2277249.0
Working Capital,-13796000.0,-14530000.0,-167057.0
Net Tangible Assets,-14433000.0,-15396000.0,-117057.0
Common Stock Equity,10182000.0,29577000.0,2277249.0
Total Capitalization,10849000.0,30444000.0,2277249.0
Total Equity Gross Minority Interest,10182000.0,29577000.0,2277249.0
Stockholders Equity,10182000.0,29577000.0,2277249.0
Other Equity Interest,,-41920958.0,
Retained Earnings,-75407000.0,21122000.0,-11594244.0
Additional Paid In Capital,71498000.0,0.0,10281829.0
Capital Stock,14091000.0,8455000.0,2959079.0
Common Stock,14091000.0,8455000.0,2959079.0
Total Liabilities Net Minority Interest,17227000.0,18891000.0,1795439.0
Total Non Current Liabilities Net Minority Interest,667000.0,866000.0,0.0
Other Non Current Liabilities,,-1000.0,
Long Term Debt And Capital Lease Obligation,667000.0,867000.0,
Long Term Debt,667000.0,867000.0,
Current Liabilities,16560000.0,18025000.0,1795439.0
Other Current Liabilities,11605000.0,14382000.0,789939.0
Pensionand Other Post Retirement Benefit Plans Current,,782091.0,
Payables,2551000.0,2291000.0,489109.0
Other Payable,426000.0,581000.0,37185.0
Accounts Payable,2125000.0,1710000.0,451924.0
Total Assets,27409000.0,48468000.0,4072688.0
Total Non Current Assets,24645000.0,44973000.0,2444306.0
Other Non Current Assets,,300.0,
Long Term Equity Investment,0.0,0.0,50000.0
Investmentsin Associatesat Cost,0.0,0.0,0.0
Investmentsin Subsidiariesat Cost,,,50000.0
Goodwill And Other Intangible Assets,24615000.0,44973000.0,2394306.0
Other Intangible Assets,4546000.0,4782000.0,2394306.0
Goodwill,20069000.0,40191000.0,
Current Assets,2764000.0,3495000.0,1628382.0
Current Deferred Assets,96000.0,50000.0,
Prepaid Assets,2000000.0,2014000.0,40725.0
Other Receivables,183000.0,717000.0,241507.0
Accounts Receivable,116000.0,105000.0,126980.0
Cash Cash Equivalents And Short Term Investments,369000.0,609000.0,1219170.0
Cash And Cash Equivalents,369000.0,609000.0,1219170.0
Cash Financial,369000.0,609000.0,1219170.0
