,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,162433356.0,162433356.0,137908356.0,121608356.0
Share Issued,162433356.0,162433356.0,137908356.0,121608356.0
Total Debt,3923000.0,2644000.0,5091000.0,5993000.0
Tangible Book Value,42688000.0,60510000.0,40875000.0,34085000.0
Invested Capital,79553000.0,98557000.0,84652000.0,80023000.0
Working Capital,15498000.0,20915000.0,17254000.0,14540000.0
Net Tangible Assets,42688000.0,60510000.0,40875000.0,34085000.0
Capital Lease Obligations,923000.0,2644000.0,5091000.0,5993000.0
Common Stock Equity,76553000.0,98557000.0,84652000.0,80023000.0
Total Capitalization,79553000.0,98557000.0,84652000.0,80023000.0
Total Equity Gross Minority Interest,76553000.0,98557000.0,84652000.0,80023000.0
Stockholders Equity,76553000.0,98557000.0,84652000.0,80023000.0
Retained Earnings,-113025000.0,-89876000.0,-72612000.0,-41896000.0
Additional Paid In Capital,185266000.0,186167000.0,155689000.0,120453000.0
Capital Stock,1624000.0,1624000.0,1379000.0,1216000.0
Common Stock,1624000.0,1624000.0,1379000.0,1216000.0
Total Liabilities Net Minority Interest,36136000.0,26073000.0,23732000.0,39293000.0
Total Non Current Liabilities Net Minority Interest,12831000.0,7290000.0,9504000.0,10465000.0
Other Non Current Liabilities,5731000.0,462000.0,679000.0,162000.0
Non Current Pension And Other Postretirement Benefit Plans,3155000.0,4163000.0,3713000.0,3786000.0
Tradeand Other Payables Non Current,,,7469000.0,524000.0
Non Current Deferred Taxes Liabilities,22000.0,21000.0,21000.0,0.0
Long Term Debt And Capital Lease Obligation,3923000.0,2644000.0,5091000.0,5993000.0
Long Term Capital Lease Obligation,923000.0,2644000.0,5091000.0,5993000.0
Long Term Debt,3000000.0,0.0,,
Current Liabilities,23305000.0,18783000.0,14228000.0,28828000.0
Pensionand Other Post Retirement Benefit Plans Current,,,2423000.0,1653000.0
Payables,6885000.0,4766000.0,7469000.0,23078000.0
Other Payable,,,5029000.0,3964000.0
Total Tax Payable,3420000.0,2052000.0,4464000.0,1531000.0
Accounts Payable,3465000.0,2714000.0,3005000.0,21547000.0
Total Assets,112689000.0,124630000.0,108384000.0,119316000.0
Total Non Current Assets,73885000.0,84934000.0,76882000.0,75949000.0
Other Non Current Assets,952000.0,,,
Non Current Deferred Assets,,,11742000.0,4766000.0
Investmentin Financial Assets,35250000.0,,25238000.0,18159000.0
Available For Sale Securities,35250000.0,,,
Long Term Equity Investment,38065000.0,43398000.0,27049000.0,
Investments In Other Ventures Under Equity Method,35250000.0,40081000.0,25238000.0,
Investmentsin Associatesat Cost,2815000.0,3317000.0,1811000.0,
Goodwill And Other Intangible Assets,33865000.0,38047000.0,43777000.0,45938000.0
Other Intangible Assets,26503000.0,30676000.0,36044000.0,38200000.0
Goodwill,7362000.0,7371000.0,7733000.0,7738000.0
Net PPE,1955000.0,3489000.0,6056000.0,7086000.0
Accumulated Depreciation,-531000.0,-387000.0,-227000.0,-24000.0
Gross PPE,2486000.0,3876000.0,6283000.0,7110000.0
Other Properties,2486000.0,3876000.0,6283000.0,7110000.0
Current Assets,38803000.0,39698000.0,31482000.0,43368000.0
Current Deferred Assets,,572000.0,604000.0,
Prepaid Assets,2827000.0,1054000.0,1151000.0,
Other Receivables,24143000.0,15923000.0,11216000.0,939000.0
Taxes Receivable,0.0,140000.0,111000.0,255000.0
Accounts Receivable,529000.0,101000.0,101000.0,179000.0
Cash Cash Equivalents And Short Term Investments,11304000.0,22480000.0,18903000.0,41995000.0
Cash And Cash Equivalents,11304000.0,22480000.0,18903000.0,41995000.0
