,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,35357751.0,35357751.0,35357751.0,35357751.0
Share Issued,35357751.0,35357751.0,35357751.0,35357751.0
Net Debt,3842000000.0,3074000000.0,2913000000.0,2395300000.0
Total Debt,10090000000.0,8727000000.0,8102800000.0,6048200000.0
Tangible Book Value,-2323000000.0,-1976000000.0,-1087800000.0,-1240000000.0
Invested Capital,9059000000.0,8018000000.0,7651800000.0,6569900000.0
Working Capital,651000000.0,398000000.0,1025800000.0,642000000.0
Net Tangible Assets,-2323000000.0,-1976000000.0,-1087800000.0,-1240000000.0
Capital Lease Obligations,5110000000.0,4546000000.0,4285800000.0,2754800000.0
Common Stock Equity,4079000000.0,3837000000.0,3834800000.0,3276500000.0
Total Capitalization,8852000000.0,7813000000.0,7502000000.0,6438000000.0
Total Equity Gross Minority Interest,4104000000.0,3865000000.0,3870300000.0,3303900000.0
Minority Interest,25000000.0,28000000.0,35500000.0,27400000.0
Stockholders Equity,4079000000.0,3837000000.0,3834800000.0,3276500000.0
Retained Earnings,1792000000.0,1741000000.0,1673400000.0,1420200000.0
Additional Paid In Capital,1276000000.0,1276000000.0,1275600000.0,1275600000.0
Capital Stock,354000000.0,354000000.0,353600000.0,353600000.0
Common Stock,354000000.0,354000000.0,353600000.0,353600000.0
Total Liabilities Net Minority Interest,12963000000.0,11765000000.0,10703800000.0,8495700000.0
Total Non Current Liabilities Net Minority Interest,9314000000.0,8083000000.0,7500300000.0,5578800000.0
Other Non Current Liabilities,-1000000.0,-1000000.0,,
Derivative Product Liabilities,69000000.0,21000000.0,,
Non Current Pension And Other Postretirement Benefit Plans,72000000.0,71000000.0,77500000.0,98600000.0
Non Current Deferred Taxes Liabilities,284000000.0,297000000.0,236600000.0,233600000.0
Long Term Debt And Capital Lease Obligation,8810000000.0,7584000000.0,7151800000.0,5227300000.0
Long Term Capital Lease Obligation,4037000000.0,3608000000.0,3484600000.0,2065800000.0
Long Term Debt,4773000000.0,3976000000.0,3667200000.0,3161500000.0
Long Term Provisions,80000000.0,111000000.0,34400000.0,19300000.0
Current Liabilities,3649000000.0,3682000000.0,3203500000.0,2916900000.0
Other Current Liabilities,405000000.0,252000000.0,146700000.0,160800000.0
Current Debt And Capital Lease Obligation,1280000000.0,1143000000.0,951000000.0,820900000.0
Current Capital Lease Obligation,1073000000.0,938000000.0,801200000.0,689000000.0
Current Debt,207000000.0,205000000.0,149800000.0,131900000.0
Pensionand Other Post Retirement Benefit Plans Current,126000000.0,119000000.0,106200000.0,104500000.0
Current Provisions,218000000.0,139000000.0,169300000.0,138800000.0
Payables,855000000.0,801000000.0,1043500000.0,984400000.0
Total Tax Payable,65000000.0,128000000.0,151000000.0,109000000.0
Accounts Payable,790000000.0,673000000.0,892500000.0,875400000.0
Total Assets,17067000000.0,15630000000.0,14574100000.0,11799600000.0
Total Non Current Assets,12768000000.0,11551000000.0,10344900000.0,8240700000.0
Other Non Current Assets,1000000.0,3000000.0,100000.0,-100000.0
Non Current Deferred Taxes Assets,490000000.0,391000000.0,386600000.0,341100000.0
Investmentin Financial Assets,58000000.0,56000000.0,66100000.0,11300000.0
Available For Sale Securities,58000000.0,56000000.0,66100000.0,11300000.0
Long Term Equity Investment,7000000.0,,,
Investmentsin Associatesat Cost,7000000.0,,,
Goodwill And Other Intangible Assets,6402000000.0,5813000000.0,4922600000.0,4516500000.0
Other Intangible Assets,1314000000.0,1361000000.0,1267400000.0,1211600000.0
Goodwill,5088000000.0,4452000000.0,3655200000.0,3304900000.0
Net PPE,5796000000.0,5277000000.0,4969500000.0,3371900000.0
Accumulated Depreciation,-5931000000.0,-4699000000.0,-4258400000.0,-3357200000.0
Gross PPE,11727000000.0,9976000000.0,9227900000.0,6729100000.0
Construction In Progress,15000000.0,23000000.0,71900000.0,35000000.0
Other Properties,183000000.0,208000000.0,309000000.0,362800000.0
Machinery Furniture Equipment,2953000000.0,2608000000.0,2512400000.0,2141300000.0
Buildings And Improvements,8576000000.0,7137000000.0,6334600000.0,4190000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,4300000000.0,4080000000.0,4229300000.0,3558900000.0
Other Current Assets,2000000.0,1000000.0,,
Hedging Assets Current,0.0,0.0,,
Prepaid Assets,126000000.0,172000000.0,133900000.0,95400000.0
Inventory,378000000.0,349000000.0,618900000.0,400400000.0
Other Inventories,-1000000.0,-1000000.0,,
Finished Goods,144000000.0,124000000.0,153900000.0,169400000.0
Work In Process,37000000.0,28000000.0,33100000.0,30900000.0
Raw Materials,198000000.0,198000000.0,431900000.0,200100000.0
Other Receivables,432000000.0,347000000.0,395000000.0,410000000.0
Taxes Receivable,30000000.0,66000000.0,38300000.0,28300000.0
Accounts Receivable,2194000000.0,2038000000.0,2139200000.0,1822100000.0
Allowance For Doubtful Accounts Receivable,-30000000.0,-27000000.0,-22000000.0,-27800000.0
Gross Accounts Receivable,2224000000.0,2065000000.0,2161200000.0,1849900000.0
Cash Cash Equivalents And Short Term Investments,1138000000.0,1107000000.0,904000000.0,898100000.0
Cash And Cash Equivalents,1138000000.0,1107000000.0,904000000.0,898100000.0
Cash Financial,1138000000.0,1107000000.0,904000000.0,898100000.0
