,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-21772000.0,-19434000.0,-45816000.0
Repayment Of Debt,-2950000.0,0.0,
Issuance Of Debt,5950000.0,0.0,
Issuance Of Capital Stock,1161000.0,34335000.0,35190000.0
Capital Expenditure,-8784000.0,-5664000.0,-7694000.0
End Cash Position,11304000.0,22480000.0,18903000.0
Other Cash Adjustment Outside Changein Cash,-1000.0,,41995000.0
Beginning Cash Position,22480000.0,18903000.0,41995000.0
Effect Of Exchange Rate Changes,131000.0,123000.0,46000.0
Changes In Cash,-11306000.0,3454000.0,-23138000.0
Financing Cash Flow,1999000.0,29273000.0,30574000.0
Net Other Financing Charges,,-293000.0,
Net Common Stock Issuance,1161000.0,34335000.0,35190000.0
Common Stock Issuance,1161000.0,34335000.0,35190000.0
Net Issuance Payments Of Debt,3000000.0,0.0,
Net Long Term Debt Issuance,3000000.0,0.0,
Long Term Debt Payments,-2950000.0,0.0,
Long Term Debt Issuance,5950000.0,0.0,
Investing Cash Flow,-317000.0,-12049000.0,-15590000.0
Net Other Investing Changes,453000.0,,
Net Investment Purchase And Sale,8014000.0,-6385000.0,-7896000.0
Purchase Of Investment,,-6385000.0,-7896000.0
Net Business Purchase And Sale,,,0.0
Sale Of Business,,,0.0
Net Intangibles Purchase And Sale,-8784000.0,-5664000.0,-7571000.0
Purchase Of Intangibles,-8784000.0,-5664000.0,-7571000.0
Net PPE Purchase And Sale,-8332000.0,0.0,-123000.0
Purchase Of PPE,-8332000.0,0.0,-123000.0
Operating Cash Flow,-12988000.0,-13770000.0,-38122000.0
Change In Working Capital,-1713000.0,170000.0,-21510000.0
Change In Other Current Liabilities,8764000.0,4809000.0,-15069000.0
Change In Receivables,-10477000.0,-4639000.0,-6441000.0
Other Non Cash Items,85000.0,-154000.0,1000.0
Depreciation And Amortization,14728000.0,13629000.0,12260000.0
Amortization Cash Flow,12504000.0,11054000.0,9707000.0
Depreciation,2224000.0,2575000.0,2553000.0
Gain Loss On Investment Securities,-2445000.0,-9759000.0,-1567000.0
Gain Loss On Sale Of Business,-234000.0,-445000.0,404000.0
Net Income From Continuing Operations,-23259000.0,-17265000.0,-30625000.0
