,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-55950000.0,-52048000.0,-55830000.0
Repayment Of Debt,-3696000.0,0.0,-19528000.0
Issuance Of Debt,4225000.0,6025000.0,15529000.0
Issuance Of Capital Stock,69688000.0,28272000.0,68901000.0
Capital Expenditure,-4675000.0,-1621000.0,-3227000.0
End Cash Position,44320000.0,28694000.0,46307000.0
Beginning Cash Position,28694000.0,46307000.0,23451000.0
Effect Of Exchange Rate Changes,655000.0,-434000.0,2417000.0
Changes In Cash,14971000.0,-17179000.0,20439000.0
Financing Cash Flow,70217000.0,34297000.0,64902000.0
Net Common Stock Issuance,69688000.0,28272000.0,68901000.0
Common Stock Issuance,69688000.0,28272000.0,68901000.0
Net Issuance Payments Of Debt,529000.0,6025000.0,-3999000.0
Net Long Term Debt Issuance,529000.0,6025000.0,-3999000.0
Long Term Debt Payments,-3696000.0,0.0,-19528000.0
Long Term Debt Issuance,4225000.0,6025000.0,15529000.0
Investing Cash Flow,-3971000.0,-1049000.0,8140000.0
Net Business Purchase And Sale,,0.0,11282000.0
Sale Of Business,,0.0,11282000.0
Net Intangibles Purchase And Sale,-2828000.0,-705000.0,-625000.0
Purchase Of Intangibles,-2828000.0,-705000.0,-625000.0
Net PPE Purchase And Sale,-1143000.0,-344000.0,-2517000.0
Sale Of PPE,704000.0,572000.0,85000.0
Purchase Of PPE,-1847000.0,-916000.0,-2602000.0
Operating Cash Flow,-51275000.0,-50427000.0,-52603000.0
Taxes Refund Paid,-747000.0,-695000.0,0.0
Interest Paid Cfo,-3701000.0,-3258000.0,-1554000.0
Change In Working Capital,2493000.0,29725000.0,12733000.0
Change In Other Current Liabilities,-11093000.0,4906000.0,-8733000.0
Change In Payable,-5226000.0,9459000.0,-15462000.0
Change In Inventory,4322000.0,24882000.0,36539000.0
Change In Receivables,14490000.0,-9522000.0,389000.0
Other Non Cash Items,3320000.0,1609000.0,-3908000.0
Provisionand Write Offof Assets,15000.0,1410000.0,1060000.0
Depreciation And Amortization,29547000.0,29646000.0,30250000.0
Depreciation,29547000.0,29646000.0,30250000.0
Gain Loss On Sale Of PPE,0.0,-1211000.0,-12000.0
Net Income From Continuing Operations,-82202000.0,-107653000.0,-91172000.0
