,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,190000000.0,205000000.0,25000000.0,89000000.0,
Repayment Of Debt,,,,,0.0
Issuance Of Capital Stock,,,0.0,987000000.0,0.0
End Cash Position,717000000.0,299000000.0,613000000.0,467000000.0,
Beginning Cash Position,299000000.0,613000000.0,467000000.0,640000000.0,
Changes In Cash,418000000.0,-314000000.0,146000000.0,-173000000.0,
Financing Cash Flow,-210000000.0,-190000000.0,-190000000.0,805000000.0,
Net Other Financing Charges,0.0,0.0,0.0,0.0,
Cash Dividends Paid,-210000000.0,-190000000.0,-190000000.0,-182000000.0,
Common Stock Dividend Paid,-210000000.0,-190000000.0,-190000000.0,-182000000.0,
Net Common Stock Issuance,,,0.0,987000000.0,0.0
Common Stock Issuance,,,0.0,987000000.0,0.0
Net Issuance Payments Of Debt,,,,,0.0
Net Long Term Debt Issuance,,,,,0.0
Long Term Debt Payments,,,,,0.0
Investing Cash Flow,438000000.0,-329000000.0,311000000.0,-1067000000.0,
Net Other Investing Changes,150000000.0,-150000000.0,,,
Net Investment Purchase And Sale,288000000.0,-179000000.0,311000000.0,-1067000000.0,
Sale Of Investment,1551000000.0,883000000.0,2544000000.0,1142000000.0,
Purchase Of Investment,-1263000000.0,-1062000000.0,-2233000000.0,-2209000000.0,
Operating Cash Flow,190000000.0,205000000.0,25000000.0,89000000.0,
Taxes Refund Paid,,,-1000000.0,-1000000.0,2000000.0
Interest Received Cfo,35000000.0,17000000.0,5000000.0,1000000.0,
Interest Paid Cfo,,,,,-2000000.0
Change In Working Capital,-44000000.0,37000000.0,-151000000.0,-15000000.0,
Change In Other Current Liabilities,-44000000.0,37000000.0,-151000000.0,-15000000.0,
Other Non Cash Items,52000000.0,-38000000.0,-273000000.0,228000000.0,
Depreciation And Amortization,-2000000.0,-2000000.0,2000000.0,2000000.0,
Depreciation,-2000000.0,-2000000.0,2000000.0,2000000.0,
Gain Loss On Investment Securities,-1031000000.0,-331000000.0,4403000000.0,-4348000000.0,
Net Foreign Currency Exchange Gain Loss,0.0,10000000.0,,,
Net Income From Continuing Operations,1180000000.0,522000000.0,-3961000000.0,4222000000.0,
