,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,-1026051.0,-1463105.0,-3720316.0,-3307511.0
Issuance Of Capital Stock,4510000.0,3000000.0,1800000.0,4750000.0
Capital Expenditure,-328003.0,-614670.0,-2622127.0,-1439468.0
Interest Paid Supplemental Data,0.0,0.0,0.0,
Income Tax Paid Supplemental Data,0.0,0.0,0.0,
End Cash Position,5861955.0,2525835.0,1508278.0,3643704.0
Beginning Cash Position,2525835.0,1508278.0,3643704.0,2512091.0
Changes In Cash,3336120.0,1017557.0,-2135426.0,1131613.0
Financing Cash Flow,4367031.0,2551233.0,1688388.0,4616716.0
Cash Flow From Continuing Financing Activities,4367031.0,2551233.0,1688388.0,4616716.0
Net Other Financing Charges,-482871.0,-448767.0,-219912.0,-482104.0
Proceeds From Stock Option Exercised,339902.0,0.0,108300.0,348820.0
Net Common Stock Issuance,4510000.0,3000000.0,1800000.0,4750000.0
Common Stock Issuance,4510000.0,3000000.0,1800000.0,4750000.0
Investing Cash Flow,-332863.0,-685241.0,-2725625.0,-1617060.0
Cash Flow From Continuing Investing Activities,-332863.0,-685241.0,-2725625.0,-1617060.0
Net Other Investing Changes,-4860.0,-70571.0,-103498.0,-227592.0
Net PPE Purchase And Sale,-328003.0,-614670.0,-2622127.0,-1389468.0
Sale Of PPE,,,0.0,50000.0
Purchase Of PPE,-328003.0,-614670.0,-2622127.0,-1439468.0
Operating Cash Flow,-698048.0,-848435.0,-1098189.0,-1868043.0
Cash Flow From Continuing Operating Activities,-698048.0,-848435.0,-1098189.0,-1868043.0
Change In Working Capital,776351.0,-1126.0,83752.0,-285898.0
Change In Other Working Capital,948214.0,,,
Change In Payables And Accrued Expense,182307.0,2579.0,-104744.0,-41353.0
Change In Prepaid Assets,-150342.0,14501.0,-6040.0,-20311.0
Change In Receivables,-203828.0,-18206.0,194536.0,-224234.0
Stock Based Compensation,858577.0,389481.0,539248.0,794799.0
Unrealized Gain Loss On Investment Securities,-105000.0,80000.0,5000.0,-45000.0
Asset Impairment Charge,461778.0,0.0,0.0,397936.0
Net Income From Continuing Operations,-2689754.0,-1316790.0,-1726189.0,-2729880.0
