,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,8922000.0,1832000.0,6918000.0
Repayment Of Debt,0.0,-3447000.0,
Issuance Of Debt,1198000.0,3447000.0,
Issuance Of Capital Stock,44693000.0,175000.0,
Capital Expenditure,-9389000.0,-9825000.0,
End Cash Position,61383000.0,6254000.0,
Beginning Cash Position,6254000.0,0.0,
Effect Of Exchange Rate Changes,316000.0,-328000.0,
Changes In Cash,54813000.0,6582000.0,
Financing Cash Flow,45891000.0,175000.0,0.0
Net Common Stock Issuance,44693000.0,175000.0,
Common Stock Issuance,44693000.0,175000.0,
Net Issuance Payments Of Debt,1198000.0,0.0,
Net Long Term Debt Issuance,1198000.0,0.0,
Long Term Debt Payments,0.0,-3447000.0,
Long Term Debt Issuance,1198000.0,3447000.0,
Investing Cash Flow,-9389000.0,-5250000.0,-1405000.0
Net Investment Purchase And Sale,0.0,-2000000.0,
Purchase Of Investment,0.0,-2000000.0,
Net Business Purchase And Sale,0.0,6575000.0,
Sale Of Business,0.0,6575000.0,
Net Intangibles Purchase And Sale,-9389000.0,-7851000.0,
Purchase Of Intangibles,-9389000.0,-7851000.0,
Net PPE Purchase And Sale,0.0,-1974000.0,
Purchase Of PPE,0.0,-1974000.0,
Operating Cash Flow,18311000.0,11657000.0,6918000.0
Taxes Refund Paid,-1752000.0,-3280000.0,
Interest Received Cfo,35000.0,4000.0,
Interest Paid Cfo,-744000.0,-5000.0,
Change In Working Capital,7253000.0,11332000.0,
Change In Other Current Liabilities,4852000.0,394000.0,
Change In Payable,3357000.0,3689000.0,
Change In Receivables,-956000.0,7249000.0,
Net Income From Continuing Operations,13340000.0,2030000.0,
