,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,1785000.0,-950000.0,-5688000.0
Repayment Of Debt,-222000.0,-1477000.0,-898000.0
Issuance Of Debt,0.0,3600000.0,0.0
Capital Expenditure,-6515000.0,-6696000.0,-5515000.0
End Cash Position,513000.0,657000.0,281000.0
Beginning Cash Position,657000.0,281000.0,555000.0
Changes In Cash,-144000.0,376000.0,-274000.0
Financing Cash Flow,-1929000.0,1326000.0,5414000.0
Common Stock Dividend Paid,,0.0,0.0
Net Issuance Payments Of Debt,-1929000.0,1326000.0,5414000.0
Net Short Term Debt Issuance,-1707000.0,-797000.0,6312000.0
Net Long Term Debt Issuance,-222000.0,2123000.0,-898000.0
Long Term Debt Payments,-222000.0,-1477000.0,-898000.0
Long Term Debt Issuance,0.0,3600000.0,0.0
Investing Cash Flow,-6515000.0,-6696000.0,-5515000.0
Net Intangibles Purchase And Sale,-6098000.0,-6489000.0,-5355000.0
Purchase Of Intangibles,-6098000.0,-6489000.0,-5355000.0
Net PPE Purchase And Sale,-417000.0,-207000.0,-160000.0
Purchase Of PPE,-417000.0,-207000.0,-160000.0
Operating Cash Flow,8300000.0,5746000.0,-173000.0
Taxes Refund Paid,-267000.0,-496000.0,-429000.0
Interest Received Cfo,18000.0,10000.0,1000.0
Interest Paid Cfo,-1625000.0,-1503000.0,-785000.0
Change In Working Capital,6263000.0,-158000.0,-5606000.0
Change In Other Current Liabilities,2446000.0,-265000.0,-1192000.0
Change In Inventory,3177000.0,-1639000.0,-5088000.0
Change In Receivables,640000.0,1746000.0,674000.0
Depreciation And Amortization,4524000.0,4717000.0,4607000.0
Amortization Cash Flow,4377000.0,4582000.0,
Depreciation,147000.0,135000.0,4607000.0
Net Income From Continuing Operations,-613000.0,3176000.0,2039000.0
