,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,-37796449.0,-26606276.0,-2407000.0
Issuance Of Debt,6500000.0,1500000.0,
Issuance Of Capital Stock,31843566.0,15999938.0,
Capital Expenditure,-27261876.0,-18048858.0,
End Cash Position,986660.0,273543.0,
Other Cash Adjustment Outside Changein Cash,,-1000.0,
Beginning Cash Position,273543.0,9377631.0,
Changes In Cash,713117.0,-9104088.0,9378000.0
Financing Cash Flow,38343566.0,17499938.0,16025000.0
Net Common Stock Issuance,31843566.0,15999938.0,
Common Stock Issuance,31843566.0,15999938.0,
Net Issuance Payments Of Debt,6500000.0,1500000.0,
Net Long Term Debt Issuance,6500000.0,1500000.0,
Long Term Debt Issuance,6500000.0,1500000.0,
Investing Cash Flow,-27095876.0,-18046608.0,-4240000.0
Net Investment Purchase And Sale,166000.0,-270000.0,
Net Intangibles Purchase And Sale,-26944732.0,-17530483.0,
Net PPE Purchase And Sale,-317144.0,-246125.0,
Sale Of PPE,,272250.0,
Purchase Of PPE,-317144.0,-518375.0,
Operating Cash Flow,-10534573.0,-8557418.0,-2407000.0
Interest Received Cfo,6126.0,31000.0,
Interest Paid Cfo,-2059976.0,-913000.0,
Change In Working Capital,13375572.0,8166696.0,
Change In Other Current Liabilities,17881410.0,12787111.0,
Change In Inventory,71726.0,-71726.0,
Change In Receivables,-4577564.0,-4548689.0,
Net Income From Continuing Operations,-23060607.0,-16928032.0,
