,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,53792000.0,29705000.0,33033000.0
Issuance Of Capital Stock,0.0,0.0,0.0
Capital Expenditure,-7723000.0,-12197000.0,-4697000.0
End Cash Position,5025000.0,4123000.0,8183000.0
Other Cash Adjustment Outside Changein Cash,,,-2000.0
Beginning Cash Position,4123000.0,8183000.0,5935000.0
Effect Of Exchange Rate Changes,256000.0,-75000.0,905000.0
Changes In Cash,646000.0,-3985000.0,1345000.0
Financing Cash Flow,-55992000.0,-33690000.0,-32221000.0
Net Other Financing Charges,-38877000.0,-10000.0,-16663000.0
Interest Paid Cff,-8115000.0,-25680000.0,-10558000.0
Cash Dividends Paid,-9000000.0,-8000000.0,-5000000.0
Net Common Stock Issuance,0.0,0.0,0.0
Common Stock Issuance,0.0,0.0,0.0
Net Issuance Payments Of Debt,0.0,0.0,0.0
Net Long Term Debt Issuance,0.0,0.0,0.0
Investing Cash Flow,-4877000.0,-12197000.0,-4164000.0
Net Other Investing Changes,,,2000.0
Net Business Purchase And Sale,2846000.0,0.0,0.0
Sale Of Business,2846000.0,0.0,0.0
Net Intangibles Purchase And Sale,-7159000.0,-10874000.0,-3641000.0
Purchase Of Intangibles,-7159000.0,-10874000.0,-3641000.0
Net PPE Purchase And Sale,-564000.0,-1323000.0,-525000.0
Sale Of PPE,0.0,0.0,531000.0
Purchase Of PPE,-564000.0,-1323000.0,-1056000.0
Operating Cash Flow,61515000.0,41902000.0,37730000.0
Change In Working Capital,9184000.0,-4601000.0,-17165000.0
Change In Other Current Liabilities,10709000.0,-2514000.0,7569000.0
Change In Inventory,5266000.0,-11259000.0,-77000.0
Change In Receivables,-6791000.0,9172000.0,-24657000.0
Other Non Cash Items,11089000.0,8340000.0,7174000.0
Deferred Tax,-8972000.0,-12696000.0,-10045000.0
Net Income From Continuing Operations,50214000.0,50859000.0,57766000.0
