,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,57800000.0,39900000.0,23700000.0,30200000.0
Repurchase Of Capital Stock,-2200000.0,-1200000.0,0.0,
Capital Expenditure,-1800000.0,-5600000.0,-1700000.0,-2700000.0
End Cash Position,23100000.0,12300000.0,14200000.0,27500000.0
Other Cash Adjustment Outside Changein Cash,,,100000.0,
Beginning Cash Position,12300000.0,14200000.0,27500000.0,26300000.0
Effect Of Exchange Rate Changes,0.0,0.0,0.0,100000.0
Changes In Cash,10800000.0,-1900000.0,-13400000.0,1100000.0
Financing Cash Flow,-47000000.0,-41800000.0,-37100000.0,-29100000.0
Cash Dividends Paid,-43100000.0,-39000000.0,-35500000.0,-28400000.0
Common Stock Dividend Paid,-43100000.0,-39000000.0,-35500000.0,-28400000.0
Net Common Stock Issuance,-2200000.0,-1200000.0,0.0,
Common Stock Payments,-2200000.0,-1200000.0,0.0,
Investing Cash Flow,-1800000.0,-5600000.0,-1700000.0,-2700000.0
Net Intangibles Purchase And Sale,0.0,-500000.0,-600000.0,-1900000.0
Purchase Of Intangibles,0.0,-500000.0,-600000.0,-1900000.0
Net PPE Purchase And Sale,-1800000.0,-5100000.0,-1100000.0,-800000.0
Purchase Of PPE,-1800000.0,-5100000.0,-1100000.0,-800000.0
Operating Cash Flow,59600000.0,45500000.0,25400000.0,32900000.0
Taxes Refund Paid,-100000.0,-400000.0,-100000.0,-100000.0
Interest Received Cfo,400000.0,200000.0,100000.0,0.0
Interest Paid Cfo,-400000.0,-400000.0,-400000.0,-500000.0
Change In Working Capital,11600000.0,-3200000.0,-10200000.0,900000.0
Change In Other Current Liabilities,3600000.0,400000.0,1800000.0,100000.0
Change In Inventory,2100000.0,2500000.0,-6200000.0,-1000000.0
Change In Receivables,5900000.0,-6100000.0,-5700000.0,1800000.0
Other Non Cash Items,200000.0,200000.0,200000.0,-500000.0
Depreciation And Amortization,4300000.0,6400000.0,4300000.0,3800000.0
Depreciation,4300000.0,6400000.0,4300000.0,3800000.0
Net Foreign Currency Exchange Gain Loss,400000.0,0.0,900000.0,-300000.0
Net Income From Continuing Operations,43200000.0,42700000.0,30600000.0,29500000.0
