,2021-06-30
Free Cash Flow,-27224000.0
Repayment Of Debt,-735000.0
Issuance Of Debt,682000.0
Issuance Of Capital Stock,34352000.0
Capital Expenditure,-7174000.0
End Cash Position,39553000.0
Beginning Cash Position,5043000.0
Changes In Cash,34510000.0
Financing Cash Flow,34299000.0
Net Common Stock Issuance,34352000.0
Common Stock Issuance,34352000.0
Net Issuance Payments Of Debt,-53000.0
Net Long Term Debt Issuance,-53000.0
Long Term Debt Payments,-735000.0
Long Term Debt Issuance,682000.0
Investing Cash Flow,20261000.0
Net Investment Purchase And Sale,27435000.0
Sale Of Investment,27435000.0
Net Intangibles Purchase And Sale,-6751000.0
Purchase Of Intangibles,-6751000.0
Net PPE Purchase And Sale,-423000.0
Purchase Of PPE,-423000.0
Operating Cash Flow,-20050000.0
Interest Received Cfo,1072000.0
Interest Paid Cfo,-95000.0
Change In Working Capital,727000.0
Change In Other Current Liabilities,5020000.0
Change In Inventory,110000.0
Change In Receivables,-4403000.0
Net Income From Continuing Operations,-26621000.0
