,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,96580000.0,48900000.0,21926000.0
Issuance Of Capital Stock,164000.0,278000.0,0.0
Capital Expenditure,-4073000.0,-2062000.0,-2578000.0
End Cash Position,93763000.0,43755000.0,15817000.0
Other Cash Adjustment Outside Changein Cash,,1000.0,
Beginning Cash Position,43755000.0,15817000.0,5010000.0
Effect Of Exchange Rate Changes,-171000.0,689000.0,-591000.0
Changes In Cash,50179000.0,27248000.0,11398000.0
Financing Cash Flow,-46397000.0,-21652000.0,-10530000.0
Net Other Financing Charges,,-1000.0,
Cash Dividends Paid,-45913000.0,-21422000.0,-10378000.0
Common Stock Dividend Paid,-45913000.0,-21422000.0,-10378000.0
Net Common Stock Issuance,164000.0,278000.0,0.0
Common Stock Issuance,164000.0,278000.0,0.0
Investing Cash Flow,-4077000.0,-2062000.0,-2576000.0
Net Other Investing Changes,,,1000.0
Net Investment Purchase And Sale,-4000.0,0.0,1000.0
Net Intangibles Purchase And Sale,-3939000.0,-1965000.0,-2538000.0
Purchase Of Intangibles,-3939000.0,-1965000.0,-2538000.0
Net PPE Purchase And Sale,-134000.0,-97000.0,-40000.0
Purchase Of PPE,-134000.0,-97000.0,-40000.0
Operating Cash Flow,100653000.0,50962000.0,24504000.0
Taxes Refund Paid,-1083000.0,-1194000.0,-3413000.0
Interest Received Cfo,890000.0,176000.0,0.0
Interest Paid Cfo,-83000.0,-65000.0,-25000.0
Change In Working Capital,-15448000.0,-3734000.0,1276000.0
Change In Other Current Liabilities,4359000.0,1011000.0,5137000.0
Change In Receivables,-20034000.0,-4745000.0,-3861000.0
Other Non Cash Items,29000.0,,-52000.0
Depreciation And Amortization,2657000.0,1644000.0,998000.0
Amortization Cash Flow,1789000.0,1095000.0,815000.0
Depreciation,868000.0,549000.0,183000.0
Gain Loss On Investment Securities,4000.0,,
Net Foreign Currency Exchange Gain Loss,-975000.0,-166000.0,8000.0
Net Income From Continuing Operations,114664000.0,54301000.0,25713000.0
