,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-628000.0,4125000.0,-9595000.0,20199000.0
Issuance Of Capital Stock,,0.0,54000.0,0.0
Capital Expenditure,-440000.0,-1748000.0,,
End Cash Position,11079000.0,14707000.0,13582000.0,39123000.0
Beginning Cash Position,14707000.0,13582000.0,39123000.0,30924000.0
Changes In Cash,-3628000.0,1125000.0,-25541000.0,8199000.0
Financing Cash Flow,-3000000.0,-3000000.0,-15946000.0,-12000000.0
Cash Dividends Paid,-3000000.0,-3000000.0,-16000000.0,-12000000.0
Net Common Stock Issuance,,0.0,54000.0,0.0
Common Stock Issuance,,0.0,54000.0,0.0
Investing Cash Flow,-440000.0,-1748000.0,0.0,0.0
Net PPE Purchase And Sale,-440000.0,-1748000.0,0.0,0.0
Purchase Of PPE,-440000.0,-1748000.0,0.0,0.0
Operating Cash Flow,-188000.0,5873000.0,-9595000.0,20199000.0
Taxes Refund Paid,-834000.0,1061000.0,-6565000.0,-3935000.0
Change In Working Capital,-2083000.0,638000.0,-7401000.0,2870000.0
Change In Other Current Liabilities,-2026000.0,1117000.0,-6637000.0,1529000.0
Change In Receivables,-57000.0,-479000.0,-764000.0,1341000.0
Depreciation And Amortization,431000.0,65000.0,21000.0,21000.0
Depreciation,431000.0,65000.0,21000.0,21000.0
Net Income From Continuing Operations,2297000.0,4110000.0,4350000.0,21242000.0
